,Name,Score,Price,Pets,Link
0,Park Plaza Victoria Amsterdam,8.4,€ 175,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/victoria.en-gb.html
1,Park Inn by Radisson Amsterdam City West,8.3,€ 130,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html
2,"Radisson Blu Hotel, Amsterdam City Center",8.5,€ 225,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html
3,Olympic Hotel,-1,€ 666666,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html
4,Postillion Hotel Amsterdam,-1,€ 666666,0,https://www.booking.com/hotel/nl/olympic-amsterdam123.en-gb.html
5,Monet Garden Hotel Amsterdam,9.0,€ 175,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html
6,NH City Centre Amsterdam,8.3,€ 162,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html
7,Hotel Mai Amsterdam,8.7,€ 90,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/notting-hill.en-gb.html
8,NH Collection Amsterdam Barbizon Palace,8.5,€ 180,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html
9,citizenM Amstel Amsterdam,9.1,€ 143,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/estherea.en-gb.html
10,Holiday Inn Express Amsterdam - North Riverside,8.5,€ 83,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cc.en-gb.html
11,Urban Lodge Hotel,8.4,€ 66,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html
12,Van der Valk Hotel Amsterdam - Amstel,8.8,€ 145,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html
13,NH Collection Amsterdam Flower Market,8.6,€ 170,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html
