,Name,Score,Price,Pets,Link
0,El Avenida Palace,8.8,€ 111,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/es/w-barcelona.en-gb.html
1,W Barcelona,8.5,€ 256,"
Pets are not allowed.
",https://www.booking.com/hotel/es/negresco-princess.en-gb.html
2,Negresco Princess 4* Sup,8.3,€ 77,"
Pets are not allowed.
",https://www.booking.com/hotel/es/h10-cubik.en-gb.html
3,Novotel Barcelona City,8.3,€ 69,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/es/avenidapalace.en-gb.html
4,Ayre Hotel Rosellón,8.8,€ 74,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/es/diagonal-zero.en-gb.html
5,H10 Cubik 4* Sup,9.2,€ 137,"
Pets are not allowed.
",https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html
6,Hotel SB Icaria Barcelona,8.0,€ 92,"
Pets are not allowed.
",https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html
7,Hotel Barcelona 1882,-1,€ 666666,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/es/sbicaria.en-gb.html
8,Wilson Boutique Hotel,8.7,€ 90,"
Pets are not allowed.
",https://www.booking.com/hotel/es/ohla.en-gb.html
9,Aparthotel Bcn Montjuic,8.3,€ 82,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html
10,Hotel SB Diagonal Zero Barcelona 4* Sup,7.9,€ 132,"
Pets are not allowed.
",https://www.booking.com/hotel/es/h10-port-vell.en-gb.html
11,H10 Casa Mimosa 4* Sup,9.4,€ 134,"
Pets are not allowed.
",https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html
12,Travelodge Barcelona Poblenou,8.0,€ 62,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html
13,Hotel Arts Barcelona,8.5,€ 302,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html
14,Kimpton Vividora Hotel,8.9,€ 139,"
Pets are not allowed.
",https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html
15,Ciutat de Barcelona,8.5,€ 63,"
Pets are not allowed.
",https://www.booking.com/hotel/es/wilson.en-gb.html
16,08028 Apartments,8.9,€ 79,"
Pets are not allowed.
",https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html
17,Hotel Royal Passeig de Gracia,8.6,€ 93,"
Pets are not allowed.
",https://www.booking.com/hotel/es/grandmarina.en-gb.html
18,Hotel SB Glow **** Sup,8.2,€ 122,0,https://www.booking.com/hotel/es/barcelona-1882-barcelona1.en-gb.html
19,Hotel Lleó,8.6,€ 69,"
Pets are not allowed.
",https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html
20,Paseo de Gracia Bas Apartments Barcelona,9.4,€ 181,"
Pets are not allowed.
",https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html
21,Ohla Barcelona,9.1,€ 234,"
Free!
Pets are allowed. No extra charges.
",https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html
22,Hotel Jazz,9.1,€ 100,"


Free!


All pools are free of charge
",https://www.booking.com/hotel/es/arts-barcelona.en-gb.html
23,NH Collection Barcelona Gran Hotel Calderon,8.6,€ 145,"
Pets are not allowed.
",https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html
24,Axel Hotel Barcelona & Urban Spa- Adults Only,8.6,€ 66,"
Pets are not allowed.
",https://www.booking.com/hotel/es/lleo.en-gb.html
25,Axel Hotel Barcelona & Urban Spa- Adults Only,8.6,€ 66,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/es/w-barcelona.en-gb.html
26,Eurostars Grand Marina Hotel GL,8.3,€ 137,"
Pets are not allowed.
",https://www.booking.com/hotel/es/negresco-princess.en-gb.html
27,Catalonia Ramblas 4* Sup,8.7,€ 87,"
Pets are not allowed.
",https://www.booking.com/hotel/es/h10-cubik.en-gb.html
28,H10 Port Vell 4* Sup,9.1,€ 139,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/es/avenidapalace.en-gb.html
29,Hotel Miramar Barcelona GL,8.4,€ 220,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/es/diagonal-zero.en-gb.html
30,Yurbban Passage Hotel & Spa,9.3,€ 143,"
Pets are not allowed.
",https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html
31,Catalonia Plaza Catalunya,8.8,€ 87,"
Pets are not allowed.
",https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html
32,Hotel Oasis,8.7,€ 56,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/es/sbicaria.en-gb.html
33,Barcelona Hotel Colonial,8.4,€ 94,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html
34,Midtown Apartments,9.5,€ 119,"
Pets are not allowed.
",https://www.booking.com/hotel/es/ohla.en-gb.html
35,Grupotel Gran Via 678,8.5,€ 137,"
Pets are not allowed.
",https://www.booking.com/hotel/es/h10-port-vell.en-gb.html
