,Name,Score,Price,Pets,Link
0,Hotel Savoy,8.4,€ 137,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/giolli.en-gb.html
1,Auditorium Mecenate,8.7,€ 68,"
Pets are not allowed.
",https://www.booking.com/hotel/it/suitesistina.en-gb.html
2,Hotel Giolli Nazionale,8.4,€ 109,"
Pets are not allowed.
",https://www.booking.com/hotel/it/condotti.en-gb.html
3,Hotel Delle Nazioni,8.5,€ 192,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/trevi-b-b-roma.en-gb.html
4,Hotel Patria,7.9,€ 87,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/it/donna-camilla-savelli.en-gb.html
5,CAVOUR URBAN ROOMS,9.1,€ 89,"
Free!
Pets are allowed. No extra charges.
",https://www.booking.com/hotel/it/best-western-plus-universo.en-gb.html
6,Archi di Roma Guest House,9.6,€ 66,"
Pets are not allowed.
",https://www.booking.com/hotel/it/borgo-pio-2000.en-gb.html
7,SuiteSistina for Lovers,9.1,€ 194,"
Free!
Pets are allowed. No extra charges.
",https://www.booking.com/hotel/it/serena-roma.en-gb.html
8,Hotel Splendide Royal - Small Luxury Hotels of the World,8.9,€ 267,"
Pets are not allowed.
",https://www.booking.com/hotel/it/yes.en-gb.html
9,Bed&Breakfast Monticello,9.3,€ 97,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/it/j-k-place-roma.en-gb.html
10,Hotel Genova,8.1,€ 172,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/residenza-ki.en-gb.html
11,San Pietro Boutique Rooms,9.6,€ 117,"
Free!
Pets are allowed. No extra charges.
",https://www.booking.com/hotel/it/hotel-royal-santina.en-gb.html
12,Flower Garden Hotel,8.1,€ 87,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/it/il-covo-b-b.en-gb.html
13,La Muraglia Di San Pietro,9.3,€ 65,"
Pets are not allowed.
",https://www.booking.com/hotel/it/genova-roma.en-gb.html
14,Maison Ottavia,9.3,€ 110,"
Pets are not allowed.
",https://www.booking.com/hotel/it/impero.en-gb.html
15,Trianon Borgo Pio Aparthotel,9.0,€ 118,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/it/antica-locanda-dell-0rso.en-gb.html
16,Hotel Modigliani,8.8,€ 102,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/splendide-royal.en-gb.html
17,JB Relais,9.2,€ 78,"
Pets are not allowed.
",https://www.booking.com/hotel/it/capo-d-africa.en-gb.html
18,Vatican Style Suite,9.2,€ 75,"
Pets are not allowed.
",https://www.booking.com/hotel/it/fellini-inn-rome.en-gb.html
19,Relais La Maison De Luxe,9.3,€ 88,"
Pets are not allowed.
",https://www.booking.com/hotel/it/boutique-trevi.en-gb.html
20,Residenza San Calisto,9.1,€ 116,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/pantheon-inn.en-gb.html
21,Argentina Style View,9.3,€ 109,"
Pets are not allowed.
",https://www.booking.com/hotel/it/residenza-paolo-vi.en-gb.html
22,Vatican Domus,9.4,€ 82,"
Pets are not allowed.
",https://www.booking.com/hotel/it/delle-nazioni.en-gb.html
23,Condotti Boutique Hotel,8.7,€ 97,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/it/albergo-abruzzi.en-gb.html
24,Hotel Serena,7.9,€ 60,"
Pets are not allowed.
",https://www.booking.com/hotel/it/mia-suites.en-gb.html
25,Boutique Hotel Atelier '800,9.0,€ 98,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/giolli.en-gb.html
26,Spagna Secret Rooms,9.5,€ 91,"
Pets are not allowed.
",https://www.booking.com/hotel/it/suitesistina.en-gb.html
27,Residenza Ki,7.8,€ 60,"
Pets are not allowed.
",https://www.booking.com/hotel/it/condotti.en-gb.html
28,Boutique Hotel Anahi,8.8,€ 70,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/it/trevi-b-b-roma.en-gb.html
29,Best Western Plus Hotel Universo,8.6,€ 131,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/it/donna-camilla-savelli.en-gb.html
30,66 Imperial Inn Deluxe B&B,9.2,€ 97,"
Free!
Pets are allowed. No extra charges.
",https://www.booking.com/hotel/it/best-western-plus-universo.en-gb.html
31,Superior Relais,9.3,€ 64,"
Pets are not allowed.
",https://www.booking.com/hotel/it/borgo-pio-2000.en-gb.html
