date,text,retweets,replies,tweet_interactions
2011-12-31,1,10,3,13
2012-01-11,1,68,28,96
2012-01-13,1,51,3,54
2012-01-17,3,63,53,116
2012-01-24,1,450,11,461
2012-01-28,1,110,18,128
2012-02-08,1,47,7,54
2012-02-10,3,190,46,236
2012-02-17,1,29,4,33
2012-03-07,1,82,31,113
2012-04-05,1,54,10,64
2012-04-30,1,111,25,136
2012-05-10,1,43,18,61
2012-05-22,2,1800,482,2282
2012-06-22,2,341,70,411
2012-07-01,1,70,67,137
2012-07-15,1,284,17,301
2012-07-27,1,11,5,16
2012-07-31,1,2005,423,2428
2012-08-01,1,513,178,691
2012-08-03,2,189,29,218
2012-08-22,2,468,88,556
2012-09-06,1,219,27,246
2012-09-13,1,326,20,346
2012-09-14,1,360,54,414
2012-09-17,1,293,91,384
2012-09-19,1,107,13,120
2012-09-24,1,122,23,145
2012-09-25,1,874,77,951
2012-10-04,1,338,37,375
2012-10-22,1,141,17,158
2012-10-28,2,495,110,605
2012-11-13,1,74,9,83
2012-11-16,1,90,37,127
2012-11-20,1,178,38,216
2012-12-04,1,708,124,832
2012-12-09,1,174,26,200
2012-12-11,1,217,53,270
2012-12-12,1,61,38,99
2012-12-14,1,10,1,11
2012-12-19,1,91,27,118
2012-12-29,1,122,22,144
2013-01-04,1,155,31,186
2013-01-18,1,579,71,650
2013-02-11,6,1663,338,2001
2013-02-15,1,62,32,94
2013-03-01,3,1150,209,1359
2013-03-06,1,214,72,286
2013-03-08,2,343,107,450
2013-03-10,1,206,46,252
2013-03-17,1,70,18,88
2013-03-23,1,130,21,151
2013-03-25,1,740,152,892
2013-03-26,1,383,85,468
2013-03-30,2,634,151,785
2013-03-31,1,48,15,63
2013-04-01,2,635,173,808
2013-04-02,4,335,123,458
2013-04-03,1,197,56,253
2013-04-08,2,813,527,1340
2013-04-09,2,192,122,314
2013-04-11,3,683,199,882
2013-04-17,1,178,47,225
2013-04-23,1,101,119,220
2013-04-24,1,3,1,4
2013-04-25,3,277,103,380
2013-04-30,1,67,18,85
2013-05-01,1,1,1,2
2013-05-02,1,247,89,336
2013-05-03,2,192,83,275
2013-05-04,2,9,5,14
2013-05-05,2,14,4,18
2013-05-06,2,552,272,824
2013-05-07,2,437,178,615
2013-05-08,1,479,224,703
2013-05-09,2,503,369,872
2013-05-12,1,3,6,9
2013-05-13,1,51,32,83
2013-05-14,1,121,125,246
2013-05-22,1,1841,251,2092
2013-05-23,2,330,109,439
2013-05-25,5,975,487,1462
2013-05-26,1,137,54,191
2013-05-30,1,591,182,773
2013-06-05,1,1071,233,1304
2013-06-12,2,324,159,483
2013-06-18,3,416,138,554
2013-06-20,1,436,106,542
2013-06-21,2,221,85,306
2013-06-25,1,1,3,4
2013-07-02,1,594,122,716
2013-07-23,1,856,237,1093
2013-07-28,1,427,158,585
2013-08-12,1,5653,709,6362
2013-08-20,1,2118,382,2500
2013-09-18,2,2758,394,3152
2013-10-30,1,437,69,506
2013-11-02,1,350,58,408
2013-11-10,1,750,131,881
2013-11-19,3,5371,1560,6931
2013-11-21,1,692,122,814
2013-12-02,1,682,105,787
2013-12-05,1,364,88,452
2013-12-19,1,152,26,178
2013-12-21,1,1636,215,1851
2013-12-25,1,3,1,4
2013-12-26,1,4,30,34
2014-01-23,1,567,184,751
2014-01-26,2,1283,205,1488
2014-01-30,1,1142,264,1406
2014-02-02,1,1244,228,1472
2014-02-07,1,533,89,622
2014-02-09,1,360,151,511
2014-03-07,1,16,26,42
2014-03-11,1,1308,226,1534
2014-03-14,2,1434,203,1637
2014-04-01,1,681,124,805
2014-04-07,1,300,101,401
2014-04-08,2,353,112,465
2014-04-24,1,335,49,384
2014-04-29,1,24,6,30
2014-05-25,1,1504,121,1625
2014-05-29,1,195,39,234
2014-06-12,1,6521,1163,7684
2014-06-17,3,3591,504,4095
2014-07-01,1,446,69,515
2014-07-10,2,724,131,855
2014-08-15,1,1883,312,2195
2014-08-25,2,343,95,438
2014-09-08,1,870,113,983
2014-09-20,1,351,87,438
2014-10-09,1,1089,259,1348
2014-10-11,1,1295,223,1518
2014-10-17,1,685,147,832
2014-10-28,2,967,213,1180
2014-11-18,1,677,111,788
2014-11-19,1,1291,127,1418
2014-11-21,1,405,70,475
2014-11-24,1,120,102,222
2014-12-19,2,1559,192,1751
2014-12-25,1,1757,208,1965
2014-12-26,2,751,261,1012
2015-01-29,2,5152,635,5787
2015-02-24,1,1688,188,1876
2015-03-15,1,1004,103,1107
2015-03-16,1,651,145,796
2015-03-17,1,734,138,872
2015-03-18,1,711,168,879
2015-03-30,1,6440,1035,7475
2015-03-31,2,2090,641,2731
2015-04-01,1,1677,377,2054
2015-04-06,1,588,98,686
2015-04-09,1,416,69,485
2015-04-11,1,1529,191,1720
2015-04-13,1,1078,274,1352
2015-04-19,1,19,22,41
2015-04-23,1,50,31,81
2015-04-29,1,4223,964,5187
2015-05-01,1,1232,170,1402
2015-05-02,1,3061,348,3409
2015-05-04,1,2447,187,2634
2015-05-12,1,39,19,58
2015-05-19,1,818,158,976
2015-06-15,1,473,40,513
2015-06-19,1,852,143,995
2015-06-27,1,316,49,365
2015-08-06,1,2349,349,2698
2015-09-14,1,1364,118,1482
2015-09-27,1,1591,131,1722
2015-10-10,1,1146,125,1271
2015-10-11,2,2212,239,2451
2015-10-21,2,1417,202,1619
2015-10-23,1,4,7,11
2015-10-25,1,573,96,669
2015-10-26,1,142,60,202
2015-10-27,1,235,91,326
2015-10-29,1,1327,176,1503
2015-11-02,1,33,16,49
2015-11-20,1,1939,210,2149
2015-12-19,1,204,94,298
2016-01-10,1,1562,128,1690
2016-02-10,2,1945,247,2192
2016-02-11,1,3414,514,3928
2016-02-16,1,19,6,25
2016-02-21,1,679,99,778
2016-02-23,1,53,18,71
2016-02-27,1,9,1,10
2016-03-04,1,73,23,96
2016-03-05,1,97,22,119
2016-03-06,2,3797,337,4134
2016-03-20,1,967,168,1135
2016-03-31,2,4229,429,4658
2016-04-01,3,863,142,1005
2016-04-02,3,564,148,712
2016-04-03,3,1480,275,1755
2016-04-04,2,63,40,103
2016-04-08,1,2027,214,2241
2016-04-09,1,6367,1334,7701
2016-04-20,1,45,51,96
2016-04-27,1,4124,380,4504
2016-04-29,1,14,6,20
2016-05-02,1,2503,284,2787
2016-05-05,1,2284,447,2731
2016-05-06,1,22,24,46
2016-05-10,1,6,9,15
2016-05-14,1,960,134,1094
2016-05-18,3,2102,239,2341
2016-06-01,1,1090,91,1181
2016-06-02,1,738,258,996
2016-06-04,1,505,63,568
