date,text,retweets,replies,favorites,tweet_interactions
2010-06-04,1,121,37,407,565
2011-12-01,2,26,24,190,240
2011-12-03,2,29,2,34,65
2011-12-04,1,9,7,24,40
2011-12-21,7,637,36,1326,1999
2011-12-22,3,195,98,1122,1415
2011-12-24,3,3267,72,8188,11527
2011-12-26,6,185,40,537,762
2011-12-27,1,34,4,29,67
2011-12-28,1,0,2,5,7
2011-12-29,5,33,19,95,147
2011-12-30,8,51224,2038,180187,233449
2011-12-31,3,161,14,70,245
2012-01-01,7,78,24,160,262
2012-01-03,3,105,11,43,159
2012-01-06,3,116,38,37,191
2012-01-11,1,68,28,328,424
2012-01-12,3,135,31,124,290
2012-01-13,1,51,3,15,69
2012-01-14,2,23,5,11,39
2012-01-17,3,63,53,38,154
2012-01-18,1,445,195,7635,8275
2012-01-22,1,2,0,1,3
2012-01-23,1,9,15,15,39
2012-01-24,3,1303,184,18828,20315
2012-01-27,1,103,12,161,276
2012-01-28,2,114,19,25,158
2012-01-31,1,32,14,79,125
2012-02-01,2,68,25,86,179
2012-02-02,1,47,31,63,141
2012-02-04,2,112,19,59,190
2012-02-05,1,3,9,16,28
2012-02-06,2,225,32,99,356
2012-02-07,1,6,1,1,8
2012-02-08,3,110,24,115,249
2012-02-09,2,157,48,156,361
2012-02-10,4,1159,211,4233,5603
2012-02-12,1,21,30,179,230
2012-02-14,1,56,15,13,84
2012-02-17,1,29,4,3,36
2012-02-21,1,27,6,14,47
2012-02-22,1,168,9,132,309
2012-02-25,3,253,42,91,386
2012-02-28,1,131,17,49,197
2012-02-29,1,1,5,10,16
2012-03-02,1,19,6,19,44
2012-03-07,1,82,31,296,409
2012-03-11,2,27,34,80,141
2012-03-12,1,52,10,38,100
2012-03-13,1,38,6,19,63
2012-03-14,1,54,2,12,68
2012-03-15,2,293,42,301,636
2012-03-20,1,39,3,4,46
2012-03-22,1,28,3,31,62
2012-03-28,1,171,26,29,226
2012-03-31,2,11,15,38,64
2012-04-01,1,9,0,2,11
2012-04-03,2,358,53,772,1183
2012-04-04,1,6,7,1,14
2012-04-05,2,64,11,83,158
2012-04-09,3,159,31,82,272
2012-04-11,1,39,31,14,84
2012-04-14,1,7,5,11,23
2012-04-18,1,687,114,3061,3862
2012-04-19,2,159,25,71,255
2012-04-21,1,21,5,55,81
2012-04-22,1,7,0,1,8
2012-04-23,2,221,48,42,311
2012-04-24,1,455,30,53,538
2012-04-30,4,531,92,161,784
2012-05-03,3,287,28,127,442
2012-05-05,2,144,27,56,227
2012-05-08,1,46,10,16,72
2012-05-09,1,103,23,23,149
2012-05-10,1,43,18,16,77
2012-05-11,3,249,68,66,383
2012-05-14,1,44,16,26,86
2012-05-19,2,746,141,92,979
2012-05-20,2,253,46,66,365
2012-05-22,9,3266,704,851,4821
2012-05-23,1,210,25,27,262
2012-05-24,4,3064,250,1025,4339
2012-05-25,2,751,155,224,1130
2012-05-31,4,1230,193,263,1686
2012-06-05,1,130,17,26,173
2012-06-14,2,72,22,28,122
2012-06-16,1,325,21,138,484
2012-06-18,2,511,107,596,1214
2012-06-20,1,5,5,5,15
2012-06-22,2,341,70,120,531
2012-06-27,3,158,23,90,271
2012-06-28,1,47,9,32,88
2012-06-30,1,382,40,132,554
2012-07-01,2,82,72,72,226
2012-07-05,2,272,98,222,592
2012-07-07,1,297,82,181,560
2012-07-12,2,65,22,27,114
2012-07-14,1,125,56,195,376
2012-07-15,2,556,84,358,998
2012-07-17,1,88,31,17,136
2012-07-21,3,247,51,152,450
2012-07-23,2,616,41,141,798
2012-07-27,7,400,80,400,880
2012-07-31,3,2221,450,36110,38781
2012-08-01,6,1025,247,7669,8941
2012-08-03,3,503,91,200,794
2012-08-04,1,6,2,8,16
2012-08-13,1,32,75,19,126
2012-08-22,2,468,88,317,873
2012-08-25,1,814,34,206,1054
2012-08-27,3,394,51,112,557
2012-08-29,2,269,21,146,436
2012-09-06,1,219,27,62,308
2012-09-13,1,326,20,291,637
2012-09-14,1,360,54,103,517
2012-09-17,1,293,91,139,523
2012-09-19,1,107,13,26,146
2012-09-22,1,191,38,87,316
2012-09-24,1,122,23,63,208
2012-09-25,1,874,77,253,1204
2012-09-30,1,635,100,325,1060
2012-10-01,2,181,30,98,309
2012-10-02,1,593,61,155,809
2012-10-03,1,5,8,6,19
2012-10-04,1,338,37,104,479
2012-10-07,1,114,15,47,176
2012-10-08,1,740,139,191,1070
2012-10-11,1,347,36,237,620
2012-10-22,1,141,17,67,225
2012-10-28,5,678,192,676,1546
2012-11-03,2,223,42,129,394
2012-11-06,1,46,13,60,119
2012-11-07,1,212,31,144,387
2012-11-12,1,102,16,85,203
2012-11-13,1,74,9,47,130
2012-11-16,2,175,47,69,291
2012-11-19,1,48,36,77,161
2012-11-20,5,427,110,229,766
2012-11-21,2,357,87,375,819
2012-11-22,2,174,34,129,337
2012-11-23,2,200,28,276,504
2012-11-24,1,2,1,9,12
2012-11-25,1,209,27,138,374
2012-11-27,3,1141,317,452,1910
2012-11-28,1,684,126,607,1417
2012-11-29,1,2,3,3,8
2012-12-02,1,699,68,151,918
2012-12-04,1,708,124,358,1190
2012-12-05,1,165,48,120,333
2012-12-09,2,296,73,182,551
2012-12-11,1,217,53,104,374
2012-12-12,7,361,92,200,653
2012-12-14,5,233,55,99,387
2012-12-17,1,338,20,198,556
2012-12-19,2,142,36,96,274
2012-12-24,4,906,137,643,1686
2012-12-25,2,3,5,5,13
2012-12-29,2,166,37,60,263
2013-01-04,2,457,67,218,742
2013-01-10,2,245,105,145,495
2013-01-15,1,177,42,119,338
2013-01-18,1,579,71,245,895
2013-01-26,1,207,35,108,350
2013-01-30,1,357,45,152,554
2013-02-04,3,1783,127,1025,2935
2013-02-08,3,288,62,172,522
2013-02-09,1,222,60,98,380
2013-02-10,1,57,9,28,94
2013-02-11,6,1663,338,672,2673
2013-02-14,1,91,42,86,219
2013-02-15,2,150,44,76,270
2013-02-16,1,386,77,183,646
2013-02-18,1,96,34,49,179
2013-02-19,1,99,12,50,161
2013-02-23,1,9,6,13,28
2013-02-25,1,5,1,4,10
2013-02-26,1,252,25,184,461
2013-02-27,3,555,62,158,775
2013-03-01,15,5429,1021,2134,8584
2013-03-02,1,331,60,152,543
2013-03-06,1,214,72,121,407
2013-03-08,9,576,230,451,1257
