date,text,retweets,replies,favorites,tweet_interactions,permalink,to,hashtags,mentions
2019-11-24,Cybertruck pulls F-150 uphill,116793,16494,670614,803901,https://twitter.com/elonmusk/status/1198751258384818176,,,
2019-11-22,Nobody *expects* the Cybertruck,48265,14548,438698,501511,https://twitter.com/elonmusk/status/1197768038415659008,,,
2020-01-29,A friend just sent me this excerpt from a Tesla blog I wrote 14 years ago,37648,4488,366829,408965,https://twitter.com/elonmusk/status/1222597315023654912,,,
2019-11-23,Franz throws steel ball at Cybertruck window right before launch. Guess we have some improvements to make before production haha.,38694,8478,328580,375752,https://twitter.com/elonmusk/status/1198090787520598016,,,
2020-01-07,At Tesla Giga Shanghai NSFW!!,37175,7420,306826,351421,https://twitter.com/elonmusk/status/1214483582363693057,,,
2019-04-23,"Tesla is going to develop a quiet, electric leafblower",24939,10392,314387,349718,https://twitter.com/elonmusk/status/1120831425169674240,,,
2019-11-23,"146k Cybertruck orders so far, with 42% choosing dual, 41% tri & 17% single motor",24714,7734,303872,336320,https://twitter.com/elonmusk/status/1198344195317985280,,,
2019-02-20,4000 Tesla cars loading in SF for Europe,17929,5107,217917,240953,https://twitter.com/elonmusk/status/1098009983931707393,,,
2019-03-30,Tesla Semi delivering Tesla cars,16803,3115,203911,223829,https://twitter.com/elonmusk/status/1112106548363292672,,,
2018-11-29,"You can summon your Tesla from your phone. Only short distances today, but in a few years summon will work from across the continent.",26440,3364,183792,213596,https://twitter.com/elonmusk/status/1067967799547449344,RodneyHansen,,
2019-12-19,Tesla Moth Mode (better late than never),21216,1329,190633,213178,https://twitter.com/elonmusk/status/1207572562466738177,,,
2019-04-24,Tesla blows haha,18694,1979,190543,211216,https://twitter.com/elonmusk/status/1120842338836725760,,,
2019-05-03,Changing Tesla horn sound to ,16309,3899,184086,204294,https://twitter.com/elonmusk/status/1124124507273175040,,,
2018-01-07,"Gonna put an old school drive-in, roller skates & rock restaurant at one of the new Tesla Supercharger locations in LA",16592,4430,181209,202231,https://twitter.com/elonmusk/status/949831212326993920,,,
2018-10-12,"Tesla exists to help reduce risk of catastrophic climate change, which affects all species on Earth. Even if your faith in humanity is faltering, this is worth caring about. Support makes a difference. Thank you.",26692,3787,169664,200143,https://twitter.com/elonmusk/status/1050809258659344384,,,
2018-04-18,Tesla batteries are currently live & delivering power at 662 locations in Puerto Rico. Team is working 24/7 to activate several hundred more.,33313,2095,154907,190315,https://twitter.com/elonmusk/status/986746909153869824,nowthisnews,,
2019-11-22,"Better truck than an F-150, faster than a Porsche 911. Order Cybertruck online at",17197,11615,159333,188145,https://twitter.com/elonmusk/status/1197986509950861312,,,
2020-01-01,Congratulations Tesla & SpaceX on great 2019! You rock!! Looking forward to epic 2020 ,8245,2192,168096,178533,https://twitter.com/elonmusk/status/1212264717617639424,,,
2020-01-12,Teslas will soon talk to people if you want. This is real.,14586,3446,156577,174609,https://twitter.com/elonmusk/status/1216198285792358400,,,
2019-11-24,"Cybertruck is our last product unveil for a while, but there will be some (mostly) unexpected technology announcements next year",8144,4015,159615,171774,https://twitter.com/elonmusk/status/1198723473708699648,,,
2019-12-07,Huge thanks to everyone who contributed ideas to Cybertruck. It’s better because of you! ,5559,4399,161012,170970,https://twitter.com/elonmusk/status/1203463366968135680,,,
2017-12-26,"Wanted again to send a note of deep gratitude to Tesla owners WW for taking a chance on a new company that all experts said would fail. So much blood, sweat & tears from the Tesla team went into creating cars that you’d truly love. I hope you do. How can we improve further?",12759,15185,134409,162353,https://twitter.com/elonmusk/status/945712432416137217,,,
2018-07-01,"7000 cars, 7 days Tesla Team ",12972,4833,143059,160864,https://twitter.com/elonmusk/status/1013519243030253570,,,
2018-05-22,Just wanted to say thanks to all Tesla supporters. I damn well love you.,8920,4551,142280,155751,https://twitter.com/elonmusk/status/998786412970369024,,,
2018-11-10,"If Tesla can help people in California wildfire, please let us know. Model S & X have hospital grade HEPA filters. Maybe helpful for transporting people.",15199,2627,133823,151649,https://twitter.com/elonmusk/status/1061123924354875393,,,
2018-04-01,"Tesla Goes Bankrupt Palo Alto, California, April 1, 2018 -- Despite intense efforts to raise money, including a last-ditch mass sale of Easter Eggs, we are sad to report that Tesla has gone completely and totally bankrupt. So bankrupt, you can't believe it.",22333,3862,124192,150387,https://twitter.com/elonmusk/status/980566101124722688,,,
2019-02-20,"Tesla made 0 cars in 2011, but will make around 500k in 2019",9573,2393,137915,149881,https://twitter.com/elonmusk/status/1098013283372589056,,,
2019-12-22,"If Tesla & SpaceX go bankrupt, so will I. As it should be.",8068,2091,136779,146938,https://twitter.com/elonmusk/status/1208831048026509312,,,
2017-11-12,Tesla Semi Truck unveil to be webcast live on Thursday at 8pm! This will blow your mind clear out of your skull and into an alternate dimension. Just need to find my portal gun ...,25094,2754,114368,142216,https://twitter.com/elonmusk/status/929823757635481600,,,
2018-10-29,Deleted my Tesla titles last week to see what would happen. I’m now the Nothing of Tesla. Seems fine so far.,9183,3710,128903,141796,https://twitter.com/elonmusk/status/1057010155332628481,,,
2017-11-17,Tesla Semi,22722,2059,116082,140863,https://twitter.com/elonmusk/status/931412020016029696,,,
2019-11-21,Tesla Cybertruck (pressurized edition) will be official truck of Mars,10818,2439,126224,139481,https://twitter.com/elonmusk/status/1197627433970589696,,,
2018-05-14,"It’s super messed up that a Tesla crash resulting in a broken ankle is front page news and the ~40,000 people who died in US auto accidents alone in past year get almost no coverage https://www.washingtonpost.com/business/tesla-with-autopilot-slams-into-truck-stopped-at-red-light/2018/05/12/18d2e740-563e-11e8-a6d4-ca1d035642ce_story.html?noredirect=on&amp;utm_term=.7466cb626644",22987,4154,109034,136175,https://twitter.com/elonmusk/status/996131586469842945,,,
2018-04-01,"Elon was found passed out against a Tesla Model 3, surrounded by ""Teslaquilla"" bottles, the tracks of dried tears still visible on his cheeks. This is not a forward-looking statement, because, obviously, what's the point? Happy New Month!",18887,3293,113590,135770,https://twitter.com/elonmusk/status/980566116614291456,,,
2019-07-27,"Ability to stream YouTube & Netflix when car is stopped coming to your Tesla soon! Has an amazingly immersive, cinematic feel due to the comfy seats & surround sound audio.",9304,2277,121750,133331,https://twitter.com/elonmusk/status/1155179932474957825,,,
2018-03-11,"Why Falcon Heavy & Starman? Life cannot just be about solving one sad problem after another. There need to be things that inspire you, that make you glad to wake up in the morning and be part of humanity. That is why we did it. We did for you.",28944,3143,99303,131390,https://twitter.com/elonmusk/status/972628124893671432,,,
2019-11-24,"Reason Cybertruck is so planar is that you can’t stamp ultra-hard 30X steel, because it breaks the stamping press",8205,3233,117217,128655,https://twitter.com/elonmusk/status/1198700591465156608,,,
2018-02-07,Last pic of Starman in Roadster on its journey to Mars orbit and then the Asteroid Belt https://www.instagram.com/p/Be6VZEzgAEk/,21808,4613,101820,128241,https://twitter.com/elonmusk/status/961359174230773765,,,
2019-06-29,"Yes, but still a bit too limited on range. That will change in coming years as battery energy density improves.",4231,1306,121022,126559,https://twitter.com/elonmusk/status/1145115024114896896,Ninja,,
2020-02-02,Tesla will hold a super fun AI party/hackathon at my house with the Tesla AI/autopilot team in about four weeks. Invitations going out soon.,6122,7391,110508,124021,https://twitter.com/elonmusk/status/1224087317364854785,,,
2019-05-31,New Tesla Summon will ur ,6343,1977,113382,121702,https://twitter.com/elonmusk/status/1134578076661141504,,,
2018-08-11,Short shorts coming soon to Tesla merch,15442,2528,102469,120439,https://twitter.com/elonmusk/status/1028121465785405441,,,
2018-08-07,Am considering taking Tesla private at $420. Funding secured.,16006,6222,90260,112488,https://twitter.com/elonmusk/status/1026872652290379776,,,
2020-02-09,Order at https://www.tesla.com/solarroof,7987,2551,101468,112006,https://twitter.com/elonmusk/status/1226634613151412224,Tesla,,
2020-01-22,Want to play The Witcher game on your Tesla? (you can already watch the show on Tesla Netflix theater),9382,4368,87424,101174,https://twitter.com/elonmusk/status/1219881215156801537,,,
2020-01-08, Tesla China Team Such amazing progress!!,3097,1692,95192,99981,https://twitter.com/elonmusk/status/1214956305808527361,,,
2017-12-02,Payload will be my midnight cherry Tesla Roadster playing Space Oddity. Destination is Mars orbit. Will be in deep space for a billion years or so if it doesn’t blow up on ascent.,15834,3846,79087,98767,https://twitter.com/elonmusk/status/936782477502246912,,,
2018-02-06,Live view of Starman,23718,3376,70361,97455,https://twitter.com/elonmusk/status/960994034960416768,,,
2019-11-01,Tesla Solarglass vs Happy Halloween!!,5078,1259,88326,94663,https://twitter.com/elonmusk/status/1190094817084051456,,,
2018-10-25,Massive thanks to Tesla owners & supporters. We wouldn’t be here without you.,3920,2100,88559,94579,https://twitter.com/elonmusk/status/1055362206798307328,,,
2018-08-01,"If you’re into video game development, consider applying to Tesla. We want to make super fun games that integrate the center touch screen, phone & car irl.",11532,4384,74545,90461,https://twitter.com/elonmusk/status/1024758123406323712,,,
2019-11-06,Cybertruck unveil on Nov 21 in LA near SpaceX rocket factory,7899,2348,77951,88198,https://twitter.com/elonmusk/status/1192113294036754432,,,
2017-09-13,Tesla Semi truck unveil & test ride tentatively scheduled for Oct 26th in Hawthorne. Worth seeing this beast in person. It's unreal.,14265,1805,69286,85356,https://twitter.com/elonmusk/status/908108029777686528,,,
2018-06-26,"What would you love to see in a Tesla pickup truck? I have a few things in mind, but what do you think are small, but important nuances & what would be seriously next level?",4753,26580,53240,84573,https://twitter.com/elonmusk/status/1011672532838055937,,,
2019-10-23,Tesla Q3 results: - Shanghai Giga ahead of schedule - Model Y ahead of schedule - Solar installs +48% from Q2 - GAAP profitable - Positive free cash flow,6819,2195,74760,83774,https://twitter.com/elonmusk/status/1187113794234793984,,,
2017-07-03,Wanted to say thanks to all that own or ordered a Tesla. It matters to us that you took a risk on a new car company. We won't forget.,7923,3556,71622,83101,https://twitter.com/elonmusk/status/882007043472728064,,,
2018-11-09,Please lmk what you’d most like improved/fixed about your Tesla. Thanks!,2193,22527,58147,82867,https://twitter.com/elonmusk/status/1060759329039515648,,,
2019-01-01,Congratulations @Tesla team!!,3192,1088,78487,82767,https://twitter.com/elonmusk/status/1080000130407776264,,,@Tesla
2017-06-01,India commits to sell only electric cars by 2030. It is already the largest market for solar power.,24806,1815,55884,82505,https://twitter.com/elonmusk/status/870411649621999617,,,
2018-12-09,"If you have a Tesla built in past 2 years, definitely try Navigate on Autopilot. It will blow your mind. Automatically passes slow cars & takes highway interchanges & off-ramps.",5318,1739,73970,81027,https://twitter.com/elonmusk/status/1071844948553609216,,,
2018-06-12,"Difficult, but necessary Tesla reorg underway. My email to the company has already leaked to media. Here it is unfiltered:",10132,1865,68809,80806,https://twitter.com/elonmusk/status/1006597562156003328,,,
2019-10-28,"If you’re directly affected by wildfire power outages, Tesla is reducing Solar+Powerwall prices by $1000 as of today",4862,854,71656,77372,https://twitter.com/elonmusk/status/1188880437067665408,,,
2019-02-27,Some Tesla news,2052,2154,70778,74984,https://twitter.com/elonmusk/status/1100672354932256773,,,
2019-05-19,"Tesla does not advertise or pay for endorsements. Instead, we use that money to make the product great.",6243,1577,64520,72340,https://twitter.com/elonmusk/status/1129924410339495937,Teslarati,,
2018-06-09,"SpaceX option package for new Tesla Roadster will include ~10 small rocket thrusters arranged seamlessly around car. These rocket engines dramatically improve acceleration, top speed, braking & cornering. Maybe they will even allow a Tesla to fly …",8786,2109,61413,72308,https://twitter.com/elonmusk/status/1005577738332172289,,,
2019-12-20,"Tesla holiday software update has FSD sneak preview, Stardew Valley, Lost Backgammon & a few other things",3224,1910,66533,71667,https://twitter.com/elonmusk/status/1207865226604863488,,,
2019-05-25,Beautiful solar sail,5657,1523,63011,70191,https://twitter.com/elonmusk/status/1132342021031464960,SpaceX,,
2018-12-19,Tesla in @boringcompany tunnel with retractable wheel gear that turns a car into a rail-guided train &amp; back again,8842,1580,59303,69725,https://twitter.com/elonmusk/status/1075227467239940096,,,@boringcompany
2019-01-27,Tap Tesla logo at top of your car’s touchscreen & wait 10 secs to open special features box,3066,1698,64195,68959,https://twitter.com/elonmusk/status/1089621398409011200,,,
2019-11-16,Cybertruck unveil Thursday night,6105,1992,60685,68782,https://twitter.com/elonmusk/status/1195504767818055680,,,
2017-04-13,Tesla Semi truck unveil set for September. Team has done an amazing job. Seriously next level.,14922,1825,51612,68359,https://twitter.com/elonmusk/status/852580027178696704,,,
2019-08-20,Might make sense to have thousands of solar reflector satellites to warm Mars vs artificial suns (tbd),3614,2313,62217,68144,https://twitter.com/elonmusk/status/1163874793113866240,,,
2019-12-26,"Just swipe down on Tesla nav button for car to automatically navigate to home, work or destination in calendar",2341,1229,62579,66149,https://twitter.com/elonmusk/status/1210270551236730880,,,
2017-08-05,Officially verified as the first production electric car to exceed 1000km on a single charge! Congratulations Tesla Owners Italia!!,14050,927,50662,65639,https://twitter.com/elonmusk/status/893920554821931008,TeslaOwnersIT,,
2019-07-02,Congratulations Tesla team & thanks to all the new Tesla owners!! ,4409,1726,59501,65636,https://twitter.com/elonmusk/status/1146152051434381313,CNBCnow,,
2019-10-25,"Maybe call Tesla solar roof tiles product Solarglass? Like Dragonglass, but solar!",2856,1816,60585,65257,https://twitter.com/elonmusk/status/1187814633496690688,,,
2017-02-15,"In appreciation, Tesla is providing all repair costs free of charge and expedited.",14578,854,49695,65127,https://twitter.com/elonmusk/status/831972613912080384,elonmusk,,
2018-09-25, Tesla Owners ,2941,2705,58197,63843,https://twitter.com/elonmusk/status/1044688678042271744,elonmusk,,
2017-10-06,Tesla Semi unveil now Nov 16. Diverting resources to fix Model 3 bottlenecks & increase battery production for Puerto Rico & other affected areas.,9175,2027,52098,63300,https://twitter.com/elonmusk/status/916395155120205825,,,
2019-10-09,Tesla software V10.0 comes with karaoke ,4156,1416,57625,63197,https://twitter.com/elonmusk/status/1181988180326633472,,,
2018-05-20,Will soon enable Tesla owners to request service from their phone with a few taps. Tesla Ranger will come to you to take care of your car. No need to bring the car in yourself & zero paperwork.,4730,1226,57173,63129,https://twitter.com/elonmusk/status/998082149356994560,,,
2019-04-23,"Over a million combustion engine (it’s right there in the name!) car fires per year & thousands of deaths, but one Tesla car fire with no injuries gets biggest headlines. Why the double standard? This is a real question.",5905,1231,55216,62352,https://twitter.com/elonmusk/status/1120801643115663360,,,
2019-08-30,https://twitter.com/Teslarati/status/1167410401878974465,4621,501,54572,59694,https://twitter.com/elonmusk/status/1167438474972139521,,,
2019-07-09,Would be cool if car took you to a random fun place traveled to by other Tesla owners in the area,1464,857,56737,59058,https://twitter.com/elonmusk/status/1148672538186137601,kvlly,,
2017-06-09,Few people know that we started Tesla when GM forcibly recalled all electric cars from customers in 2003 & then crushed them in a junkyard,13744,1481,43531,58756,https://twitter.com/elonmusk/status/873116351316938753,,,
2019-05-17,This is why we put extra filters in all Tesla cars. S & X even have hospital operating room grade HEPA filters.,4160,1126,53143,58429,https://twitter.com/elonmusk/status/1129459107952332800,elonmusk,,
2018-12-09,"Already testing traffic lights, stop signs & roundabouts in development software. Your Tesla will soon be able to go from your garage at home to parking at work with no driver input at all.",5317,1431,51591,58339,https://twitter.com/elonmusk/status/1071845439140327424,,,
2020-02-16,"Tesla is ramping up Solar Roof installation across the USA! Training will be provided, so no prior experience needed. Apply at",5362,1976,50923,58261,https://twitter.com/elonmusk/status/1228849721013346304,,,
2018-10-23,"Get this question a lot, so need to clarify that there’s no such thing as a Tesla “refresh”. Other car companies do this every ~3 years, but Tesla constantly upgrades vehicle hardware every week.",3188,1205,53859,58252,https://twitter.com/elonmusk/status/1054812318096216064,,,
2018-10-18,"Just released lower cost, mid-range Tesla Model 3 & super simple new order page",5505,3380,47660,56545,https://twitter.com/elonmusk/status/1053060766771761152,,,
2018-05-22,"We’re going to include some fun games as hidden Easter eggs in Tesla S, X & 3. What do you think would be most fun in a car using the center touch screen?",2554,13444,40400,56398,https://twitter.com/elonmusk/status/998988641702526977,,,
2018-12-09,"Tesla history trivia: we didn’t actually come up with the Tesla Motors name. Bought trademark off Brad Siewert for $75k in late 2004. He’d originally filed for it in 1994. Our alternative name was Faraday, which was used by a competitor several years later.",5067,1180,49616,55863,https://twitter.com/elonmusk/status/1071613648085311488,60Minutes,,
2019-01-22,Tesla Sentry Mode coming soon for all cars with Enhanced Autopilot,3613,1377,50862,55852,https://twitter.com/elonmusk/status/1087849475622588416,dmbfanmd,,
2019-08-18,Tesla Solar just relaunched. Lmk what you think …,3352,4959,47518,55829,https://twitter.com/elonmusk/status/1163020430136844288,,,
