text,retweets,replies,tweet_interactions
1,121,37,158
2,26,24,50
2,29,2,31
1,9,7,16
7,637,36,673
3,195,98,293
3,3267,72,3339
6,185,40,225
1,34,4,38
1,0,2,2
5,33,19,52
8,51224,2038,53262
3,161,14,175
7,78,24,102
3,105,11,116
3,116,38,154
1,68,28,96
3,135,31,166
1,51,3,54
2,23,5,28
3,63,53,116
1,445,195,640
1,2,0,2
1,9,15,24
3,1303,184,1487
1,103,12,115
2,114,19,133
1,32,14,46
2,68,25,93
1,47,31,78
2,112,19,131
1,3,9,12
2,225,32,257
1,6,1,7
3,110,24,134
2,157,48,205
4,1159,211,1370
1,21,30,51
1,56,15,71
1,29,4,33
1,27,6,33
1,168,9,177
3,253,42,295
1,131,17,148
1,1,5,6
1,19,6,25
1,82,31,113
2,27,34,61
1,52,10,62
1,38,6,44
1,54,2,56
2,293,42,335
1,39,3,42
1,28,3,31
1,171,26,197
2,11,15,26
1,9,0,9
2,358,53,411
1,6,7,13
2,64,11,75
3,159,31,190
1,39,31,70
1,7,5,12
1,687,114,801
2,159,25,184
1,21,5,26
1,7,0,7
2,221,48,269
1,455,30,485
4,531,92,623
3,287,28,315
2,144,27,171
1,46,10,56
1,103,23,126
1,43,18,61
3,249,68,317
1,44,16,60
2,746,141,887
2,253,46,299
9,3266,704,3970
1,210,25,235
4,3064,250,3314
2,751,155,906
4,1230,193,1423
1,130,17,147
2,72,22,94
1,325,21,346
2,511,107,618
1,5,5,10
2,341,70,411
3,158,23,181
1,47,9,56
1,382,40,422
2,82,72,154
2,272,98,370
1,297,82,379
2,65,22,87
1,125,56,181
2,556,84,640
1,88,31,119
3,247,51,298
2,616,41,657
7,400,80,480
3,2221,450,2671
6,1025,247,1272
3,503,91,594
1,6,2,8
1,32,75,107
2,468,88,556
1,814,34,848
3,394,51,445
2,269,21,290
1,219,27,246
1,326,20,346
1,360,54,414
1,293,91,384
1,107,13,120
1,191,38,229
1,122,23,145
1,874,77,951
1,635,100,735
2,181,30,211
1,593,61,654
1,5,8,13
1,338,37,375
1,114,15,129
1,740,139,879
1,347,36,383
1,141,17,158
5,678,192,870
2,223,42,265
1,46,13,59
1,212,31,243
1,102,16,118
1,74,9,83
2,175,47,222
1,48,36,84
5,427,110,537
2,357,87,444
2,174,34,208
2,200,28,228
1,2,1,3
1,209,27,236
3,1141,317,1458
1,684,126,810
1,2,3,5
1,699,68,767
1,708,124,832
1,165,48,213
2,296,73,369
1,217,53,270
7,361,92,453
5,233,55,288
1,338,20,358
2,142,36,178
4,906,137,1043
2,3,5,8
2,166,37,203
2,457,67,524
2,245,105,350
1,177,42,219
1,579,71,650
1,207,35,242
1,357,45,402
3,1783,127,1910
3,288,62,350
1,222,60,282
1,57,9,66
6,1663,338,2001
1,91,42,133
2,150,44,194
1,386,77,463
1,96,34,130
1,99,12,111
1,9,6,15
1,5,1,6
1,252,25,277
3,555,62,617
15,5429,1021,6450
1,331,60,391
1,214,72,286
9,576,230,806
2,559,162,721
1,206,46,252
2,72,18,90
1,232,40,272
3,733,112,845
9,663,266,929
2,5,5,10
2,1048,199,1247
6,921,223,1144
3,505,113,618
3,681,162,843
2,68,36,104
4,641,175,816
8,342,127,469
2,200,65,265
4,826,530,1356
9,453,367,820
2,54,25,79
6,798,235,1033
1,208,107,315
2,516,103,619
2,187,23,210
1,128,12,140
3,616,140,756
8,1793,432,2225
2,5,4,9
5,449,154,603
2,1,5,6
1,439,87,526
2,374,43,417
5,3,8,11
6,429,201,630
13,224,118,342
4,15,6,21
4,16,7,23
3,553,274,827
5,513,223,736
2,480,224,704
4,513,390,903
11,490,227,717
5,65,46,111
2,127,135,262
1,18,7,25
2,114,120,234
2,4,5,9
2,28,42,70
1,1841,251,2092
3,481,159,640
6,1236,271,1507
33,4019,2085,6104
2,142,59,201
2,674,250,924
4,1780,297,2077
1,1071,233,1304
4,1022,270,1292
2,235,69,304
1,256,64,320
2,324,159,483
4,696,219,915
1,122,136,258
1,436,106,542
2,221,85,306
1,0,3,3
3,3,10,13
3,941,120,1061
1,749,96,845
1,50,25,75
1,594,122,716
1,1787,314,2101
2,2242,212,2454
2,556,49,605
5,3170,641,3811
1,856,237,1093
1,326,40,366
1,427,158,585
1,471,46,517
1,215,56,271
3,8301,1255,9556
1,1186,280,1466
