,goodreads_book_id,book_id,book_title,book_series,authors,average_rating,work_ratings_count,main_genre,sec_genre
1,1,27,Harry Potter and the Half-Blood Prince,Harry Potter,"J.K. Rowling, Mary GrandPré",4.54,1785676,fantasy,young adult
101,2,21,Harry Potter and the Order of the Phoenix,Harry Potter,"J.K. Rowling, Mary GrandPré",4.46,1840548,fantasy,children
201,3,2,Harry Potter and the Sorcerer's Stone,Harry Potter,"J.K. Rowling, Mary GrandPré",4.44,4800065,fantasy,young adult
301,5,18,Harry Potter and the Prisoner of Azkaban,Harry Potter,"J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1969375,fantasy,young adult
401,6,24,Harry Potter and the Goblet of Fire,Harry Potter,"J.K. Rowling, Mary GrandPré",4.53,1868642,fantasy,young adult
501,8,3275,"Harry Potter Boxed Set, Books 1-5",Harry Potter,"J.K. Rowling, Mary GrandPré",4.77,33424,fantasy,young adult
601,10,3753,Harry Potter Collection,Harry Potter,J.K. Rowling,4.73,26274,fantasy,young adult
701,11,54,The Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy,Douglas Adams,4.2,1006479,science-fiction,science-fiction
801,13,337,The Ultimate Hitchhiker's Guide to the Galaxy,,Douglas Adams,4.37,238420,science-fiction,science-fiction
932,21,374,A Short History of Nearly Everything,,Bill Bryson,4.19,206367,history,humor
1009,24,1460,In a Sunburned Country,,Bill Bryson,4.05,66668,humor,history
1107,25,1976,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,,Bill Bryson,3.89,49430,humor,humor
1208,26,2321,The Lost Continent: Travels in Small Town America,,Bill Bryson,3.83,42202,humor,humor
1308,27,2279,Neither Here nor There: Travels in Europe,,Bill Bryson,3.88,45390,humor,humor
1409,28,1449,Notes from a Small Island,,Bill Bryson,3.91,72421,humor,humor
1530,29,4079,The Mother Tongue: English and How It Got That Way,,Bill Bryson,3.95,26951,humor,history
1601,30,964,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,,J.R.R. Tolkien,4.59,94348,classic,fantasy
1701,33,189,The Lord of the Rings,The Lord of the Rings,J.R.R. Tolkien,4.47,436346,fantasy,classic
1801,34,19,The Fellowship of the Ring,The Lord of the Rings,J.R.R. Tolkien,4.34,1832541,fantasy,classic
1901,36,4229,The Lord of the Rings: Weapons and Warfare,,"Chris   Smith, Christopher Lee, Richard Taylor",4.53,18911,fantasy,young adult
2003,50,388,Hatchet,Brian's Saga,Gary Paulsen,3.68,231963,young adult,adventure
2110,67,3504,The Known World,,Edward P. Jones,3.82,29459,historical,historical
2203,93,639,Heidi,,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",3.97,154669,classic,children
2306,98,7683,What to Expect the First Year,What to Expect),"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",3.86,13247,children,children
2401,105,2817,Chapterhouse: Dune,Dune Chronicles #6),Frank Herbert,3.89,37155,science-fiction,science-fiction
2501,106,1105,Dune Messiah,Dune Chronicles #2),Frank Herbert,3.86,90432,fantasy,science-fiction
