,tag_id,tag_name
0,30574,to-read
1,11557,favorites
2,22743,owned
3,5207,books-i-own
4,8717,currently-reading
5,18045,library
6,22753,owned-books
7,11743,fiction
8,30521,to-buy
9,17213,kindle
10,9221,default
11,10197,ebook
12,20774,my-books
13,3389,audiobook
14,10210,ebooks
15,32586,wish-list
16,20849,my-library
17,3392,audiobooks
18,15169,i-own
19,1642,adult
20,3371,audio
21,11590,favourites
22,22034,novels
23,22689,own-it
24,8055,contemporary
25,25151,read-in-2015
26,27199,series
27,10093,e-book
28,25152,read-in-2016
29,25150,read-in-2014
30,5090,books
31,1659,adult-fiction
32,10094,e-books
33,25149,read-in-2013
34,4949,book-club
35,3358,audible
36,11305,fantasy
37,26138,romance
38,3379,audio-books
39,1416,abandoned
40,21989,novel
41,24960,re-read
42,14064,have
43,3377,audio-book
44,20939,mystery
45,5481,borrowed
46,1691,adventure
47,25148,read-in-2012
48,33114,young-adult
49,10644,english
50,9477,did-not-finish
51,11497,favorite
52,19524,maybe
53,27535,shelfari-favorites
54,9886,drama
55,18367,literature
56,12948,general-fiction
57,24997,read-2015
58,32989,ya
59,2104,all-time-favorites
60,7457,classics
61,24999,read-2016
62,24996,read-2014
63,8067,contemporary-fiction
64,11505,favorite-books
65,9638,dnf
66,25147,read-in-2011
67,11978,finished
68,25153,read-in-2017
69,1128,5-stars
70,14487,historical-fiction
71,22944,paperback
72,14467,historical
73,30358,thriller
74,26785,sci-fi-fantasy
75,2277,american
76,29076,suspense
77,25822,reviewed
78,1078,4-stars
79,31505,unfinished
80,24995,read-2013
81,14764,home-library
82,18054,library-books
83,26771,sci-fi
84,26837,science-fiction
85,1540,action
86,15048,humor
87,11221,family
88,14552,history
89,21689,non-fiction
90,6122,calibre
91,8517,crime
92,9484,didn-t-finish
93,30672,to-read-fiction
94,11370,fantasy-sci-fi
95,21815,nook
96,18051,library-book
97,6750,chick-lit
98,923,20th-century
99,22973,paranormal
100,26735,school
101,7404,classic
102,18886,magic
103,20994,mystery-thriller
104,29452,teen
105,29011,supernatural
106,25506,recommended
107,21773,nonfiction
108,11503,favorite-authors
109,25438,realistic-fiction
110,18326,literary-fiction
111,5051,bookclub
112,32099,want-to-read
113,25146,read-in-2010
114,29316,tbr
115,31557,unread
116,12680,funny
117,5444,bookshelf
118,26897,scifi-fantasy
119,18640,love
120,23037,part-of-a-series
121,5180,books-i-have
122,33012,ya-fiction
123,20989,mystery-suspense
124,17217,kindle-books
125,22733,own-to-read
126,24993,read-2012
127,20926,mysteries
128,20731,must-read
129,21274,need-to-buy
130,31617,urban-fantasy
131,6828,childhood
132,25167,read-in-english
133,6857,children
134,18318,literary
135,14821,horror
136,25765,reread
137,6953,childrens
138,33124,young-adult-fiction
139,30386,thrillers
140,25000,read-2017
141,783,2015-reads
142,22352,on-my-shelf
143,5751,british
144,831,2016-reads
145,7852,coming-of-age
146,6888,children-s
147,17124,kids
148,22333,on-kindle
149,11550,favorite-series
