Year,Annual COƒ?? emissions (tonnes ),GHG(tonnes COƒ??e ),Median (ƒ?Ÿ),Ozone-depleting emissions,Mean ozone hole area (square kilometres),LandAverageTemperature,LandAndOceanAverageTemperature,Oil (megawatt-hours),Coal (megawatt-hours),Natural gas (megawatt-hours),Coal (terawatt-hours),Solar (terawatt-hours)_x,Crude oil (terawatt-hours),Natural gas (terawatt-hours),Traditional biofuels (terawatt-hours),Other renewables (terawatt-hours)_x,Hydropower (terawatt-hours)_x,Nuclear (terawatt-hours),Wind (terawatt-hours)_x,Hydropower (terawatt-hours)_y,Solar (terawatt-hours)_y,Wind (terawatt-hours)_y,Other renewables (terawatt-hours)_y,Coal (%),Crude oil (%),Hydropower (%),Natural gas (%),Nuclear (%),Other renewables (%),Solar (%),Traditional biofuels (%),Wind (%)
1751,9350528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,9354192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,9354192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,9357856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,9361520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,10006384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,10010048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,10013712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,10017376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,10017376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,10973680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,10977344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,10981008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,10984672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,10988336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,12259744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,12263408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,12267072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,12270736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,12274400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,13611760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,13615424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,13619088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,13622752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,13626416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,15037056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,15040720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,15044384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,15048048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,15055376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,16843408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,16847072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,16854400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,16858064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,16869056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,19151728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,19159056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,19162720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,19170048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,19177376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,21419744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,21896064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,21914384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,21881408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,21892400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,22951296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,24094464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,25094736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,26428432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,28091888.0,,,,,,,,,,97.2223,0.0,0.0,0.0,5555.555556,0.0,0.0,0.0,0.0,,,,,1.719903072,0.0,0.0,0.0,0.0,0.0,0.0,98.28009693,0.0
1801,27959984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,36782896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,31488416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,34309696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,33419344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,35046160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,36874496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,35064480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,35090128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,37380128.0,,,,,,,,,,127.77788000000001,0.0,0.0,0.0,5833.333333,0.0,0.0,0.0,0.0,,,,,2.143524511,0.0,0.0,0.0,0.0,0.0,0.0,97.85647549,0.0
1811,39582192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,41007488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,41220000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,42128672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,43488016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,47664976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,49431024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,49643536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,49947648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,50687776.0,,,,,,,,,,152.7779,0.0,0.0,0.0,6111.111111,0.0,0.0,0.0,0.0,,,,,2.439026294,0.0,0.0,0.0,0.0,0.0,0.0,97.56097371,0.0
1821,51435232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,53465088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,56550176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,58525072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,60756448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,61419632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,65915360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,66637168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,66395344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,89123136.0,,,,,,,,,,263.8891,0.0,0.0,0.0,6388.888889,0.0,0.0,0.0,0.0,,,,,3.966600125,0.0,0.0,0.0,0.0,0.0,0.0,96.03339988,0.0
1831,84528480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,85111056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,86807488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,88485600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,90445840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,104775744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,104691472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,108044032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,111612768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,118929776.0,,,,,,,,,,355.55584,0.0,0.0,0.0,6944.444444,0.0,0.0,0.0,0.0,,,,,4.870627756,0.0,0.0,0.0,0.0,0.0,0.0,95.12937224,0.0
1841,122619424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,129504080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,132852976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,141423072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,155210704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,157793824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,172402192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,173816496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,183511440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,196896032.0,,-0.373,,,7.900666666666666,14.867166666666668,,,,569.4449,0.0,0.0,0.0,7222.222222,0.0,0.0,0.0,0.0,,,,,7.3083833160000005,0.0,0.0,0.0,0.0,0.0,0.0,92.69161668,0.0
1851,198742688.0,,-0.218,,,8.178583333333332,14.991833333333332,,,,,,,,,,,,,,,,,,,,,,,,,
1852,207495984.0,,-0.228,,,8.100166666666665,15.006500000000003,,,,,,,,,,,,,,,,,,,,,,,,,
1853,217099328.0,,-0.26899999999999996,,,8.041833333333333,14.955166666666669,,,,,,,,,,,,,,,,,,,,,,,,,
1854,255010736.0,,-0.248,,,8.2105,14.990999999999998,,,,,,,,,,,,,,,,,,,,,,,,,
1855,260034080.0,,-0.272,,,8.110749999999998,15.021083333333332,,,,,,,,,,,,,,,,,,,,,,,,,
1856,277108320.0,,-0.358,,,7.995916666666666,14.879333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
1857,279680448.0,,-0.461,,,7.758166666666668,14.758249999999999,,,,,,,,,,,,,,,,,,,,,,,,,
1858,283967328.0,,-0.467,,,8.10025,14.8815,,,,,,,,,,,,,,,,,,,,,,,,,
1859,301001264.0,,-0.284,,,8.252,14.929916666666669,,,,,,,,,,,,,,,,,,,,,,,,,
1860,330708976.0,,-0.34299999999999997,,,7.960833333333333,14.882916666666665,,,,1061.11196,0.0,0.0,0.0,6944.444444,0.0,0.0,0.0,0.0,,,,,13.25469345,0.0,0.0,0.0,0.0,0.0,0.0,86.74530655,0.0
1861,347786880.0,,-0.40700000000000003,,,7.846500000000002,14.800666666666666,,,,,,,,,,,,,,,,,,,,,,,,,
1862,354114608.0,,-0.524,,,7.558583333333334,14.740083333333333,,,,,,,,,,,,,,,,,,,,,,,,,
1863,377923280.0,,-0.278,,,8.111833333333333,14.93575,,,,,,,,,,,,,,,,,,,,,,,,,
1864,407151008.0,,-0.494,,,7.983583333333335,14.896499999999998,,,,,,,,,,,,,,,,,,,,,,,,,
1865,432366656.0,,-0.27899999999999997,,,8.177833333333334,14.996666666666668,,,,,,,,,,,,,,,,,,,,,,,,,
1866,446037040.0,,-0.251,,,8.292166666666665,15.057000000000002,,,,,,,,,,,,,,,,,,,,,,,,,
1867,477814912.0,,-0.321,,,8.436333333333334,15.058666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1868,490752496.0,,-0.23800000000000002,,,8.247916666666667,15.096916666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1869,521130720.0,,-0.262,,,8.432083333333333,15.065499999999998,,,,,,,,,,,,,,,,,,,,,,,,,
1870,532536752.0,,-0.276,,,8.201333333333332,15.004333333333335,,,,1641.6679800000002,0.0,5.55556,0.0,6944.444444,0.0,0.0,0.0,0.0,,,,,19.10767482,0.064662182,0.0,0.0,0.0,0.0,0.0,80.827663,0.0
1871,566142960.0,,-0.335,,,8.115083333333333,15.00591666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1872,626371792.0,,-0.22699999999999998,,,8.193833333333332,15.019333333333336,,,,,,,,,,,,,,,,,,,,,,,,,
1873,665419040.0,,-0.304,,,8.351083333333333,15.04925,,,,,,,,,,,,,,,,,,,,,,,,,
1874,622997248.0,,-0.368,,,8.4335,14.957,,,,,,,,,,,,,,,,,,,,,,,,,
1875,675799152.0,,-0.395,,,7.859583333333334,14.921916666666668,,,,,,,,,,,,,,,,,,,,,,,,,
1876,685552720.0,,-0.384,,,8.080083333333333,14.90941666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1877,699098528.0,,-0.075,,,8.539583333333333,15.28266666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1878,704565216.0,,0.035,,,8.829749999999999,15.357416666666666,,,,,,,,,,,,,,,,,,,,,,,,,
1879,755036816.0,,-0.23,,,8.165833333333333,15.064416666666668,,,,,,,,,,,,,,,,,,,,,,,,,
1880,853891536.0,,-0.22699999999999998,,,8.118749999999999,15.008666666666665,,,,2541.6687,0.0,33.33336,0.0,6944.444444,0.0,0.0,0.0,0.0,,,,,26.69975296,0.350160695,0.0,0.0,0.0,0.0,0.0,72.95008634,0.0
1881,882587984.0,,-0.2,,,8.270916666666666,15.087166666666668,,,,,,,,,,,,,,,,,,,,,,,,,
1882,932128928.0,,-0.213,,,8.128916666666667,15.05658333333333,,,,,,,,,,,,,,,,,,,,,,,,,
