Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,803719 BCE,207.29
World,OWID_WRL,803182 BCE,202.23
World,OWID_WRL,802573 BCE,204.86
World,OWID_WRL,802060 BCE,207.5
World,OWID_WRL,801975 BCE,202.92
World,OWID_WRL,801759 BCE,202.65
World,OWID_WRL,800922 BCE,198.66
World,OWID_WRL,799286 BCE,198.68
World,OWID_WRL,796731 BCE,200.49
World,OWID_WRL,795429 BCE,197.91
World,OWID_WRL,794903 BCE,198.79
World,OWID_WRL,793737 BCE,204.62
World,OWID_WRL,793172 BCE,208.79
World,OWID_WRL,791903 BCE,218.39
World,OWID_WRL,791569 BCE,213.36
World,OWID_WRL,790667 BCE,214.45
World,OWID_WRL,790081 BCE,224.69
World,OWID_WRL,789107 BCE,230.55
World,OWID_WRL,788689 BCE,227.38
World,OWID_WRL,788003 BCE,235.49
World,OWID_WRL,787544 BCE,238.64
World,OWID_WRL,786742 BCE,257.02
World,OWID_WRL,786529 BCE,257.2
World,OWID_WRL,785854 BCE,266
World,OWID_WRL,785406 BCE,269.36
World,OWID_WRL,784613 BCE,264.35
World,OWID_WRL,784240 BCE,262.23
World,OWID_WRL,783569 BCE,259.66
World,OWID_WRL,783084 BCE,255.85
World,OWID_WRL,782312 BCE,260.92
World,OWID_WRL,781249 BCE,255.02
World,OWID_WRL,780778 BCE,257.44
World,OWID_WRL,779937 BCE,251.51
World,OWID_WRL,779613 BCE,257.21
World,OWID_WRL,778769 BCE,252.52
World,OWID_WRL,778239 BCE,254.43
World,OWID_WRL,777418 BCE,254.69
World,OWID_WRL,777108 BCE,254.93
World,OWID_WRL,776283 BCE,252.46
World,OWID_WRL,775732 BCE,247.3
World,OWID_WRL,774833 BCE,248.92
World,OWID_WRL,774382 BCE,245.32
World,OWID_WRL,773588 BCE,241.74
World,OWID_WRL,773009 BCE,238.39
World,OWID_WRL,772094 BCE,239.23
World,OWID_WRL,771734 BCE,237.78
World,OWID_WRL,771300 BCE,246.03
World,OWID_WRL,771046 BCE,243.85
World,OWID_WRL,770788 BCE,246.49
World,OWID_WRL,770525 BCE,243.89
World,OWID_WRL,770225 BCE,239.71
World,OWID_WRL,769863 BCE,234.24
World,OWID_WRL,769569 BCE,236.32
World,OWID_WRL,769071 BCE,229.56
World,OWID_WRL,768649 BCE,230.63
World,OWID_WRL,767701 BCE,225.87
World,OWID_WRL,767111 BCE,221.64
World,OWID_WRL,766167 BCE,223.82
World,OWID_WRL,765797 BCE,224.86
World,OWID_WRL,764859 BCE,230.62
World,OWID_WRL,764239 BCE,232.12
World,OWID_WRL,763901 BCE,229.41
World,OWID_WRL,763637 BCE,233.66
World,OWID_WRL,763232 BCE,222.93
World,OWID_WRL,762727 BCE,223.89
World,OWID_WRL,761821 BCE,219.95
World,OWID_WRL,761152 BCE,214
World,OWID_WRL,760216 BCE,214.69
World,OWID_WRL,759914 BCE,216.64
World,OWID_WRL,758990 BCE,222.71
World,OWID_WRL,758566 BCE,225.62
World,OWID_WRL,758158 BCE,225.37
World,OWID_WRL,757928 BCE,223.02
