Entity,Code,Year,Oil (megawatt-hours),Coal (megawatt-hours),Natural gas (megawatt-hours)
Africa,,1965,0.9823446438,1.040686258,0.032724384450000005
Africa,,1966,1.050339973,1.001970157,0.03564618859
Africa,,1967,1.01439004,1.005196639,0.03437115677
Africa,,1968,1.0433633990000002,1.02113886,0.034195276739999995
Africa,,1969,1.032230468,1.001082551,0.03969944326
Africa,,1970,1.117029998,1.004125663,0.04785500806
Africa,,1971,1.2251556330000002,1.0336766130000001,0.05323626723
Africa,,1972,1.293742189,1.016788571,0.06895526267
Africa,,1973,1.3544573370000001,1.04722408,0.1072211566
Africa,,1974,1.364503271,1.062219828,0.1168689615
Africa,,1975,1.3912877639999999,1.0985441710000001,0.1378768466
Africa,,1976,1.513763197,1.122316064,0.153105131
Africa,,1977,1.5502347380000001,1.116715352,0.1667098893
Africa,,1978,1.578208369,1.053098505,0.2316900081
Africa,,1979,1.6290877170000002,1.0810882979999998,0.3447262651
Africa,,1980,1.691539606,1.133066358,0.4252996443
Africa,,1981,1.741547961,1.288503268,0.5058873799
Africa,,1982,1.780800301,1.3832512449999999,0.5305406303
Africa,,1983,1.791503046,1.358982878,0.5672388434
Africa,,1984,1.781085752,1.4189590060000001,0.5278697065
Africa,,1985,1.7696777970000002,1.424015244,0.5485789301999999
Africa,,1986,1.694207797,1.4166797999999998,0.6001957425000001
Africa,,1987,1.7301023290000002,1.417025637,0.6014901072000001
Africa,,1988,1.7662058770000002,1.481292459,0.6489857458
Africa,,1989,1.775902453,1.353029718,0.6543051599
Africa,,1990,1.758606377,1.383818164,0.6526284239000001
Africa,,1991,1.7156329490000002,1.309550666,0.6410053284
Africa,,1992,1.7026212459999999,1.283041609,0.6654039421
Africa,,1993,1.680499145,1.269378578,0.647924072
Africa,,1994,1.674060988,1.269119665,0.660791776
Africa,,1995,1.691063695,1.275598232,0.6870737476000001
Africa,,1996,1.692826636,1.261297603,0.7061322374
Africa,,1997,1.7003370560000002,1.2618301440000002,0.6766484081999999
Africa,,1998,1.698704457,1.203051786,0.6972852866
Africa,,1999,1.71865353,1.210651701,0.6837431928
Africa,,2000,1.684636791,1.179051616,0.737307035
Africa,,2001,1.6634250210000001,1.165833105,0.8205190566
Africa,,2002,1.650597539,1.0895892169999999,0.8457595266
Africa,,2003,1.6520083890000001,1.157126065,0.8795172143
Africa,,2004,1.691751999,1.240446838,0.9438145014
Africa,,2005,1.736323841,1.123159928,0.9624483482
Africa,,2006,1.694299677,1.111037346,0.9890420534
Africa,,2007,1.7230934150000001,1.101462472,1.040751401
Africa,,2008,1.768911369,1.1836341270000001,1.0571455699999999
Africa,,2009,1.7807309150000001,1.148560422,1.018447331
Africa,,2010,1.822919389,1.109291434,1.0616370629999998
Africa,,2011,1.72186287,1.063184619,1.1008807059999999
Africa,,2012,1.77407261,1.010677996,1.142514647
Africa,,2013,1.797934341,0.9991326051999999,1.136706334
Africa,,2014,1.773450642,1.021944556,1.142185233
Africa,,2015,1.773106012,0.9281220812000001,1.1902791190000002
Algeria,DZA,1965,1.187227923,0.06447319987,0.6401267701000001
Algeria,DZA,1966,1.516886363,0.060926327630000006,0.6468942434
Algeria,DZA,1967,1.374260092,0.04528613738,0.6096210802
Algeria,DZA,1968,1.423247177,0.04653899807,0.6227764105
Algeria,DZA,1969,1.459460602,0.057556192760000006,0.7959199227
Algeria,DZA,1970,1.624199641,0.06634280029999999,0.7273728707
Algeria,DZA,1971,1.7786929230000001,0.01788021732,0.8030549777
Algeria,DZA,1972,1.9013879930000002,0.01512639613,0.9075837676
Algeria,DZA,1973,2.0155471620000003,0.01692500355,1.2289024320000002
Algeria,DZA,1974,2.1732279450000003,0.01360057014,1.3836790570000002
