,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst,-1,"Do you want to change the world? At Cabify and Movo, that's what we're doing. We aim to make cities better places to live by improving mobility for the people living in them, connecting riders to drivers, providing mobility alternatives such as scooters and mopeds and many others to come, at the touch of a button. Maybe one day cities will be places where nobody needs a private car. But we've still got a long way to go...fancy joining us?

Founded in 2011, we have become the first Spanish tech 'unicorn'. Our HQ is in Madrid but you can currently find us in 38 cities across Spain, and Latin America. Every month, new members join our world-class team of passionate, smart and talented individuals with a hunger to challenge the status quo.

But no matter how quickly we grow or how big we become, we're determined to keep our 'start-up' spirit. We are a confident, professional, charismatic and focused team, young at heart and proud to do things the right way.We like to think of ourselves as an ethical and innovative tech company that has created a business where everyone is treated fairly and respectfully, from our engineers to the drivers that use our platform. Moreover, we always comply fully with government regulations and respect local laws.

It's been quite a ride so far, but in reality, our journey has only just begun. If we're going to turn our vision into a reality, we're going to need plenty more bright, ambitious people to join us!

About the Role

We're looking for data analyst to join our Data Analytics group and be on the forefront of analysis to unlock the full potential of our shared mobility business. You will be responsible for developing actionable data-driven insights across Cabify's global departments efforts, continuously improving the operation and accelerating both demand and supply growth, engagement and retention! The right person has a passion for driving impact by leveraging data insights, experimentation and technology to power decisions across our organization.

What You'll Do
Leverage data to perform intensive analysis across all areas of our business to improve operational efficiency and streamline process.
Generate and execute on ideas for exploratory analysis to shape future projects and provide recommendations for actions
Create dashboards and reports to regularly communicate results and monitor key metrics
Use data visualization to distill complicated spatio-temporal data into easy to digest summaries that are used to monitor health and inform product
Present findings to senior management to guide business decisions
Collaborate with cross-functional teams across disciplines such as engineering, operations and growth
What You'll Need
2/3 years of experience as a Data Analyst
BE/BS/MS in Physics, Economics, Applied Math, Statistics, Operations Research, Engineering, Computer Science, or other quantitative field (advanced degrees in Analytics area plus)
Proficient in writing and understanding complex SQL and working with large data sets
Working knowledge of Tableau
Ability to deliver on tight timelines and move quickly while maintaining attention to detail
Collaborate closely with cross-functional teams to execute on decisions
Self-driven and proactive with the ability to work in a self-guided manner
Excellent communication and organization skills
Fluent English and Spanish
The good stuff:

We're a company full of happy, motivated people and we never want that to change. Here are some more reasons why it rocks to be part of our family.
Salary ranges for this role: from 30.000 to 35.000 (level 2)
Remote days available upon agreement
Flexible work environment & hours
Regular fun team events
Cabify staff discount
Personal development programmes
Flexible remuneration: Restaurant tickets, transport tickets, healthcare and childcare
A pet room so you don't have to leave your furry friend at home
We offer relocation package to those coming from another country.
All the gear you need - just bring yourself.
And last but not least...free fruits & coffee!
Cabify is proud of being an equal opportunity workplace. We celebrate diversity and we are committed to creating an inclusive environment for all employees regardless of background, gender, religion, orientation, age or ability. Join us!",3.7,"Cabify
3.7",Madrid,-1,-1,-1,-1,-1,Internet,-1,-1
1,Data Analyst,-1,"Are you a passionate Data Analyst with a deep understanding of data analysis and representation?

Are you interested in working on challenging projects? If so, we have great job opportunities for you.

Are you really the one?

We are seeking a highly skilled, motivated and knowledgeable Data Analyst with:

+2 years’ experience in Web Analytics (strategy, requirements, implementation, validation, reporting)

Great communication skills to transmit insights clearly with technical and non-technical team members

Fluent English Level

Analytical Mindset

Great data representation abilities, making the data easy to understand

Desirable:
Experience with: Python, Spark, R, SQL or Git.

Knowledge in: Matplotlib, Jupyter, Tableau, R: Shiny, or ggplot2.

We have great challenges for you, are you up?",3.8,"ARIAD
3.8",Madrid,-1,-1,-1,-1,-1,Contratación de personal y externalización,-1,-1
2,Data Analyst,-1,"Company Description

Nexthink is the global leader in digital employee experience management. Our products allow enterprises to create highly productive digital workplaces for their employees by delivering optimal end-user experiences. Through a unique combination of real-time analytics, automation and employee feedback, Nexthink gives IT teams the insight they need to empower and even delight people at work.

Headquartered in Switzerland with US headquarters in Boston, Nexthink also has offices in France, UK, Germany, Spain and UAE. Our growing team of Nexthinkers is proud to be making the digital work lives of nearly ten million employees across 1,000 customers more productive.

At Nexthink, we believe actions are stronger than words when it comes to diversity, inclusivity, and equity in the workplace. Nexthinkers are multinational and multilingual, and come from all walks of life. We are committed to hiring a genuinely representative workforce that can create solutions and foster innovation for the modern digital employee experience. Join us today!

Job Description

To support Nexthink Manage Services, we are looking for a Data Analyst who can provide remote Analytics activities to Nexthink strategic accounts in order to provide ongoing value to Nexthink customers on different areas of operations.

The focus of the role is to work with set of Service Delivery Managers to provide analysis for customer’s dataset and provide recommendations. The role is expected to work collaboratively with SDMs, Professional Services & Customer Success teams.

The main responsibilities of the role are as follows:
Being able to analyze, baseline and benchmark customer’s data-set to drive insights for ongoing operations
Lead data projects end-to-end, including business requirements gathering, data requirements definition, technical specifications and follow-up;
Run complex analyses to deliver business insights to the different teams – automate reporting for scalability reasons whenever it is relevant;
Being able to find and highlight false positives or one off events
Ensuring that results and milestones are documented consistently and regularly shared with internal and external stakeholders
Being able to speak with experience IT stakeholders and explain data analysis, insights and assumptions
Analyze customer needs, goals, strategic plans and constraints
Being able to prioritize and work on different projects at the same time
Being able to suggest remediations and automation opportunities
Work against a set of Service Levels (SLs)
Stay current on product development/releases to a level required for the above activities;
This position requires 10% travel to headquarter for training purposes.

Qualifications

BA/BS preferred in computer science, computer engineering
Minimum of 3-5 years of experience in technical consulting, analytics & automation
Ability to perform data analysis and drive to actionable insights and automation
Deep experience in either workplace management, network management, productivity and collaboration management
Experience over transformation projects (e.g. Win10, O365)
Extensive technical knowledge on end user computing
Good knowledge of IT operations in challenging environments
Ability to quickly learn new technologies in an unsupervised environment
Excellent communication, customer facing and teamwork skills
Exceptional analytical skills; outstanding communication and social awareness
Enthusiasm for working in an international, collaborative and fast-paced environment and learning new technologies
Excellent knowledge of Microsoft Windows and Linux clients and its applications
Outstanding Excel skills. Great command of business intelligence software and data visualization tools such of R , Mathlab and Python as well as strong data visualization skills and experience with relevant data visualization tools would be a significant asset;
Practical knowledge of SQL, XML, windows PowerShell. Practical experiences in data integration
Relevant software industry experience in any of the following: IT systems, enterprise or infrastructure management, application development and management, security, and/or analytics
Fluency in English, with excellent written, digital and verbal communication skills; knowledge of other languages would be an asset

Additional Information

This is an exceptional opportunity to join a fast-growing, successful and innovative company. Nexthink allows you to thrive in a unique work environment where the emphasis is on excellence, innovation, openness and collaboration.",4.2,"Nexthink
4.2",Madrid,-1,-1,-1,-1,-1,Software empresarial y soluciones de red,-1,-1
3,Data Analytics Analyst (MIDAS),-1,"IQVIA is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness the power of healthcare data, domain expertise, transformative technology, and advanced analytics to drive healthcare forward.

Join us on our exciting journey!


IQVIA is The Human Data Science Company, focused on using data and science to help healthcare clients find better solutions for their patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness advances in healthcare information, technology, analytics and human ingenuity to drive healthcare forward. With a global team of 50,000, we harness insights, commercial and scientific depth, and executional expertise to empower clients to achieve some of their most important goals. https://www.iqvia.com/

Position Purpose:

We are looking for a passionate and dynamic professional to be joining a new team of experienced pharma analysts during a period of strong growth.

This role offers excellent exposure and requires the right candidate to hit the ground running, learn on the job and show adaptability as the industry requirements evolve.

If you want to play a key role in a big and international team across a fast moving, growing business unit, this could be the role for you!

What to expect:
Scoping and Design of the new Factor/Matching system including agreement on the platform and hardware/software.
Confirmation of the design for the established downstream systems: MIDAS, QD, PADDS, SMART.
Detailed Process and Business Rule documents drawn up and agreed by the Business.
Systems work on the new Factor/Matching system.
Systems work on the established systems.
System and User Acceptance Testing across all systems.
Creation and quality assurance of new data (indications and factors).
In-context testing and Pre-Launch testing on MIDAS.
Install all new and established system changes.
Confirmation that all is operating correctly.
Notification to customers of the new offering and sales negotiations.
Our ideal candidate: Skills & other requirements.
Pharma background (First point of validations and mapping suggestion).
Strong analytic skills for deeper analysis.
Autonomy to create programs /analysis depending on the need.
Hability to communicate effectively and professionally.
Excellent attention to detail and organizational skills as well as keeping to tight deadlines.
Experience working for multi-national corporations is an advantage.
IQVIA
IQVIA recognized by Great Place to Work as the second best company to work for in Spain (March 2018)
FORTUNE Magazine's World's Most Admired Companies list for the third year in a row.
Recognised by the 2016 Scrip Awards as the Best Full-service Provider Contract Research Organization (CRO)
Awarded the 2016 Eagle Award from the Society for Clinical Research Sites (SCRS) for the fourth consecutive year. A site-nominated award recognising contract research organizations (CRO) and biopharmaceutical sponsors dedicated to building positive relationships with research sites through leadership, professionalism and integrity.
IQVIA named in The International Association of Outsourcing Professionals (IAOP) 2017 Global Outsourcing 100® List which recognizes the worlds best service providers across a range of industries.
We know that meaningful results require not only the right approach but also the right people. Regardless of your role, we invite you to reimagine healthcare with us. You will have the opportunity to play an important part in helping our clients drive healthcare forward and whatever your career goals, we are here to ensure you get there!

We invite you to join IQVIA.

IQVIA is an equal opportunity employer. We make employment decisions based on qualifications and merit. We prohibit discrimination based on any unlawful consideration such as age, race, national origin, gender or other ""protected status.

Are you interested or do you know the ideal candidate?
If you know the right candidate or for more information on this role please contact marta.saiz@iqvia.com
Please note is necessary that your application is registered in our Talent Network to process your candidacy.
Join Us

Making a positive impact on human health takes insight, curiosity, and intellectual courage. It takes brave minds, pushing the boundaries to transform healthcare. Regardless of your role, you will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve outcomes for patients.

Forge a career with greater purpose, make an impact, and never stop learning.",3.6,"IQVIA
3.6",Madrid,-1,-1,-1,-1,-1,Biotecnología e industria farmacéutica,-1,-1
4,Data Analyst,-1,"Hi there! We’re growing the Data team in our Madrid’s office, and you can be a part of that journey. Are you looking for an adventure?

Who are we? We’re OrbitalAds – a diverse team of passionate problem-solvers focused on keyword management, which translates into time and money savings for all companies running digital advertisements with our cool product.

We are proud to be named one of the Google Premier Partners as well as flaunt a nice 300% growth YoY.

Our customers <3>

What’s so cool about all this? You are joining a Series A phase growth company – which means you’ll reap the glory of bringing us to the next stage and change the way the business world communicates. There is no complex hierarchy. We don’t do long approval processes. We just deliver. You will be joining a company with highly skilled, smart people that are all overachievers and want to be “the best”

As a Data Analyst, you will:
Experience working on a dynamic and interdisciplinary environment: you will work closely with Engineering, Product and Marketing teams.
Identify new business opportunities and answer critical business questions about Digital Marketing through deep data analysis in order to make our product more intelligent.
Experiment with machine learning approaches to solve complex business problems no one has ever attempted before.
Explore NLP state of the art with various datasets, building new products and evolving existing models.

What skills do you need?

+2 years of professional experience in a data scientist or analyst role; experience applied to NLP, time series or digital marketing data problems are a plus.
Degree in analytical-related fields (Mathematics, Statistics, Engineering, Computer Science or other technical field).
Good English communication skills, written and spoken.
A proactive and analytical mindset: the ability to deep dive into our datasets and generate insightful analyses that enable us to improve different elements of product and business operations.
Skills to handle with databases and to write queries in SQL.
Be familiar with any notebooks tool: Jupyter, Google Colab, Google Datalab, Databricks...
Strong coding skills in Python with data analysis and visualizing and machine learning libraries (numpy, pandas, scikit-learn, matplotlib, seaborn, plotly...).

What other skills do we value?

You know about Google Ads and how it works.
Experience with Google Cloud Platform data products (BigQuery, BigTable, Datastore, etc.).
Knowledge about generating and visualizing graphs and networks (e.g.: Neo4j, igraph...)
You enjoy reading academic papers and implementing experimental systems.
Hands-on analytical experience on large volumes of data.

Why you might NOT enjoy this position:
You want a highly-structured, predictable day-to-day.
You prefer to be managed; you act when asked and let others come up with ideas.
Fast-paced environments make your head spin.

What do we offer you:
A competitive salary.
A flexible and fun working environment of startups in the very center of Madrid.
An opportunity to make a team grow from the start.
An office where everyone breathes SaaS and looks for scalable solutions.",-1,OrbitalAds,Madrid,-1,-1,-1,-1,-1,-1,-1,-1
5,Data Analyst Internship,-1,"We are Digital Demand – D2, a Big Data company that provide analytic insights and intelligence about Countries, Regions and Cities in the areas of Tourism, Investment, Export, Talent and National Prominence. We are currently seeking to recruit an intern to join our office in Madrid, Spain, as a Data Analyst Intern.

If you love numbers and are hardworking, committed and highly motivated, contact us!

1. Job Description

The main role of the Data Analyst Intern is to help and support the Project Managers in internal and external (clients) projects. The tasks will include:

- Gathering, collecting, analysing and reporting different types of data

- Intense processing of Excel figures

The tasks may also include:

a) Development of new internal projects and the improvement of existing projects.

b) Conducting research, which will include consulting external sources, elaborating surveys, reviewing publications and browsing the Internet for data sources and information.

c) Creating PowerPoint presentations and reports

d) Quality control of data analyses.

2. Requirements

a) An excellent level of Excel and a good working knowledge of Microsoft Office in general.

b) Fluent in speaking, reading and writing in English.

c) Bachelor or Master in Economics, Business, Engineering, Business Intelligence, Big Data Analytics or Computer Science.

d) Strong analytical and problem-solving skills, with a proven ability to meet deadlines and give attention to detail.

3. Desired Skills from you

a) Entrepreneurial mindset to approach projects and tasks.

b) Ability to take initiative and proactive approach.

c) Accountability, enthusiasm, and numerical thinking.

d) Knowledge of SQL, VBA Macros or other programming languages are not necessary but will be considered as an advantage.

5. What we offer

a) Possibility of temporary or 100% teleworking for the interns due to the situation with COVID-19.

b) Personal development - we provide a chance for our trainees to face a real challenge, so the internship is not about making coffee or copies of documents. Interns work in the back office of projects and are given a lot of responsibility.

c) We give the opportunity to experience work in an open-minded company, in a multicultural environment.

d) Each intern gets an evaluation certificate describing the tasks, achievements, and final grade. If the intern gets a high grade in the evaluation, he or she will receive a letter of recommendation signed by the Managing director, which will be extremely valuable for job and university applications. In addition, Digital Demand – D2 is always happy to give references for interns who demonstrated great results.

Job Types: Full-time, Internship",3.0,"Digital Demand - D2
3.0",Madrid,-1,-1,-1,-1,-1,-1,-1,-1
6,Junior Data Analyst,-1,"We're Fever!

Fever is the leading entertainment discovery platform, with a mission to inspire people through experiences. We are looking for bar-raisers that want to work hard, have fun and make history with us. Fever combines its marketplace and Secret Media Network (Secret London, Secret NYC, Madrid Secreto, Paris Secret, etc) through technology to reach over 15 million people per week. Fever has also rolled out the Fever Originals, which are proprietary events in which we follow a data-driven content creation strategy, using analytics to understand audiences and develop new experiences.

Fever is present in London, New York, Los Angeles, Paris, Lisbon, and Spain, and is in process of expanding to new markets. Fever is also backed by top-notch institutional investors, including Atresmedia, Accel Partners, Lab-Tech, and 14W Ventures.

About You
0-2 years of relevant experience
You are an engineer.
Youre native in Spanish and bilingual English speaker.
Excellent analytical and interpersonal skills, with ability to work successfully
across many disciplines.
You have passion for Digital Marketing and an untamable desire to learn more
and become one of the leading Growth Hacking specialists.
Marketing background, experience in social media insights and SQL knowledge
is a plus.
About The Role

Fever is looking for a Growth Analyst that will play a vital role in growing our Secret Media Network, building and reporting the metrics and performance of the media network, providing insights and developing tools to help editors do their work. We're looking for someone with great analysis skills and the ability to get things done, someone who is knowledgeable and loves data, is team-orientated and loves digging into data to uncover product problems and opportunities.

We also value the ability to assess the right balance of risk to allocate right resources, anticipate bottlenecks, provide escalation management, anticipate and make trade-offs, balance the business needs versus technical constraints and encourage risk taking behaviour to maximize business benefit. You will work closely to our Secret Media team, Marketing team, Product Team, Brand Partnership team and web engineering.

Your Key Responsibilities here in Fever will be:
Working with Marketing and Media Teams to Understand KPIs & Business
Goals.
Complete audit of current reporting, analytics & AB testing tools.
Making suggestions to improve our tools and encouraging seamless sharing
across tools and departments.
Completing critical analysis that will drive growth and provide insights.
About Our Perks & Benefits
Great work environment and great people to work with :)
Ping-pong and chill room
Free fruits & drinks
Excellent working conditions
Flex work
40% off in our plans!
Powered by JazzHR",3.5,"Fever
3.5",Madrid,-1,-1,-1,-1,-1,Internet,-1,-1
7,Big Data Analyst,-1,"Sector:
IT
LUGAR DE TRABAJO:
Madrid , Spain
DESCRIPCIÓN:
Buscamos incorporar a nuestro equipo un Data Engineer con experiencia en analisis de datos con Python y Spark para trabajar en un importante organismo dedicado al transporte en el Norte de Madrid.
Los ambitos funcionales de los proyectos serán:
- Procesamiento de grandes volumenes de informacion relativa a la movilidad.
- Sistemas de explotacion y mantenimiento de infraestructuras de transporte.
- Procesamiento de imagenes.
- Procesamiento de lenguaje natural.
REQUISITOS:
Conocimientos requeridos:
- Ciclo de vida de un proceso de análisis de datos.
- Lenguajes de programación Python, R.
- Herramientas del ecosistema Hadoop y Spark.
- Algoritmos de Machine Learning.
- Bases de datos relacionales: PostgreSQL
- Bases de datos NoSQL: MongoDB
- Lucene, Elasticsearch.
- Bi, Data Mart, Datawarehouse.
EXPERIENCIA:
2 años",2.4,"Exceltic
2.4",Madrid,-1,-1,-1,-1,-1,-1,-1,-1
8,Data Analyst Intern,-1,"Main Purpose of Internship:
To provide an opportunity for a candidate to gain his/her first professional experience in the area of analytics. Working alongside our Data Analyst, the candidate will help with the development, implementation, testing and maintenance of our data systems infrastructure, including dashboards and reports to help teams analyse and investigate their results.

Alternatively, it could also serve as an opportunity for the candidate to do their “thesis” or “dissertation” in data analysis or statistics and be fully engaged in helping EA Compliance and Certification with data analysis and data visualization.

Key Duties and Responsibilities (in partnership with Data Analyst)

Conduct analyses using spreadsheets, statistical software, and databases

Develop and maintain scripts and queries to import, manipulate and clean data from different sources
Assemble and maintain databases to support analyses
Create, operate and maintain script-driven methodologies for the generation of analysis and reports.
Perform quality assurance on generated results to ensure accuracy and consistency

Preparation of “client ready” deliverables

Prepare professional results in presentation and document format
Quality assurance on final results for consistency and accuracy

Interacting with internal clients

Dealing with data providers in client organizations, specifically in the development of data requests, checking of data received, and follow up with data providers on data issues.
Dealing directly with clients on projects involving technical methodologies
Presenting results to clients in a clear and respectful manner, and maintaining professionalism in collecting feedback
Project management and quality assurance of active projects

Work with internal Compliance and Certification processes

Evaluate partner data between functions (i.e. WW QA)
Review submission quality per location (measured in KPI’s to develop alignment actions)
Evaluate data within current internal business practices to help Leadership drive efficiencies within all Compliance and Certification functions (i.e. overtesting, Mobile vs. Traditional metric review, etc.)
Align analytics approach with First Parties to provide EA with holistic action points.

What you will learn from the Internship:
Learn from our team that has an objective to enhance EA Compliance and Certification services by introducing new tools and technologies, producing data to help teams analyse performance and expanding upon automation approaches for test
Reviewing our data that feeds into various reports, as well as using predictive modelling techniques to highlight common trends
Management of our data warehouse by ensuring databases are maintained and kept up to date for various projects
Participate in communications with other data analysts and partner teams in EA across the world, to help align practises and share results of our data upstream
Understanding Certification processes and the data captured from internal practises
R elationship building within a team environment, whilst working in a dynamic area with constant change

Required:
Student of Computer Science, Statistics, Economics or similar studies. Ideally in his/her last year or recently completed
Advanced level of English, both written and verbal, strong communication skills
Takes pride in achieving excellence - detail oriented, organized, careful and takes mistakes seriously
Self-motivated and self-driven, with demonstrated ability to quickly and independently learn new concepts
Professionalism in working in a team environment
Strong analytical skills
Strong problem solving and creative thinking skills

Nice to have:
Knowledge of SQL
Knowledge of R Statistical software
Knowledge of Business Intelligence principles and concepts
Knowledge of Operations, Process Re-engineering/ Optimization
Knowledge of data visualization techniques

#LI-VEP1",3.9,"Electronic Arts
3.9",Madrid,-1,-1,-1,-1,-1,Videojuegos,-1,-1
9,Business Data Analyst,-1,"OnTruck is a European start-up devoted to bringing the road transportation industry to the 21st century. We realized that, despite how present mobile technology is in our day-to-day lives, it hasn't yet reached such a critical industry. Our initial product is a B2B platform to streamline the finding of the right carrier for your freight. Check our site: https://ontruck.com/

The challenge

The road transportation industry has been stuck in the same way of doing things for the past 30 years, with complex over-the-phone transactions that could be sped up and more efficient using the right technology. Figuring our product out and getting users to switch is a tough challenge and we want your insights and experience.

The role

We are looking for a talented Business Data Analyst within the Technology Team. You will be primarily responsible for data assembly, manipulation, and analysis. This position is critical in ensuring OnTruck make the right decision and enable us to understand market potentials.

Responsibilities
Create clear data analysis and dashboards using various delivery methods
Develop outstanding data tools to uncover insights and opportunities
Communication with relevant stakeholders to understand and uncover their needs
Identify and troubleshoot data issues in a timely cost effective manner
Hard Skills
BS in Business / Economics / Statistics / Mathematics / Engineering or equivalent experience
Familiar with SQL query writing in a relational database environment
At least 1-year experience in data analysis applied to business problems is required
Bonus points for having experience with Tableau or a similar tool
Python / R will be a plus
Spoken and written English (Spanish is an asset)
Soft Skills
Ability to work both independently and as part of a team
Ability to communicate complex findings and ideas
Ability to interact with end users on business operations will be highly valued
Able to work in a fast paced environment
Extremely detail and results oriented
Strong time management skills, able to handle multiple projects effectively",-1,Ninjatruck SL,Madrid,-1,-1,-1,-1,-1,-1,-1,-1
