,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,cluster
7,6cM9Wxrwik0TipzJPcZLG7,Swing You Winners (feat. Tape Five),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,164080.0,12.0,0.669,0.7709999999999999,-5.2860000000000005,0.191,0.00897,6.1e-05,0.275,0.5920000000000001,169.916,7,1,8.0,3
8,4mpyBYJzpieMYwvtnnlzlY,Shadrack (Fonograff Rework),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,228693.0,20.0,0.88,0.87,-5.851,0.32,0.27899999999999997,0.0008060000000000001,0.11599999999999999,0.743,115.056,5,0,9.0,3
13,63lZp8cz2HeqafVAkGKvbz,Make My Music,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,321093.0,9.0,0.9520000000000001,0.605,-6.767,0.28800000000000003,0.0151,0.41,0.625,0.5660000000000001,130.024,2,1,14.0,3
20,2usdkZLreKqMXMOTtdYJ4W,Crazy in Love,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,236280.0,12.0,0.599,0.759,-5.7010000000000005,0.309,0.406,0.0,0.034,0.904,202.387,0,1,21.0,3
22,6JofwMtPyY9bC6rnuYz0Jq,Woody Woody,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,190346.0,9.0,0.7090000000000001,0.775,-6.926,0.192,0.389,0.0,0.32899999999999996,0.501,76.984,5,0,23.0,3
23,7zzl0HGwdjHV6QCvVcbl0n,Faux Cul (feat. Lamuzgueule),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,266293.0,13.0,0.7020000000000001,0.8,-7.0089999999999995,0.252,0.0686,0.0,0.242,0.7979999999999999,107.556,11,0,24.0,3
24,0jNJ5ySN1U6k2tTsGEDNIH,Brown Sugar (Minimatic Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,212093.0,9.0,0.5870000000000001,0.731,-8.427999999999999,0.203,0.141,0.000101,0.369,0.8290000000000001,79.648,10,0,25.0,3
25,6fohtovAqz4S5ktOxs27uc,Busy Line,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,254346.0,0.0,0.92,0.763,-8.371,0.245,0.0127,0.0729,0.0814,0.9670000000000001,124.994,1,1,26.0,3
30,6OTvtL2LH1H5YhypqrlZHd,Hop on Hop Off (Pascal And Pearce Mix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,201586.0,10.0,0.815,0.784,-6.287999999999999,0.235,0.0798,0.0106,0.307,0.5329999999999999,128.01,2,1,31.0,3
32,4OWVb7kfeqMcwiWZoW9fxL,Dig It (Minimatic Remix) [feat. Myra Taylor],3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,247720.0,0.0,0.894,0.66,-6.794,0.22,0.473,0.000298,0.434,0.867,103.03200000000001,7,0,33.0,3
34,3bnUfzUJQbW4bHW7VoLup1,Tequila (Gardener Of Delight Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,292293.0,0.0,0.813,0.809,-6.59,0.21899999999999997,0.0886,0.20199999999999999,0.0566,0.8959999999999999,91.99600000000001,10,1,35.0,3
39,470XmqLuWmhw1wYCdK6Jpj,Christopher Columbus (Squirrels & Onions Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,200560.0,9.0,0.61,0.7659999999999999,-7.1370000000000005,0.434,0.00913,0.45299999999999996,0.0987,0.64,120.071,2,1,40.0,3
43,7DiX9s5ABXOHfYUGOarmvy,What Will Santa Say When He Finds Everyone Swinging,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,201440.0,8.0,0.7809999999999999,0.826,-5.047,0.188,0.0219,0.409,0.0862,0.915,119.064,10,1,44.0,3
47,3NpIjtzn7GAISrH7furhGV,Do What (feat. Anqui),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,221773.0,0.0,0.5539999999999999,0.774,-5.943,0.35,0.201,8.240000000000001e-05,0.7020000000000001,0.687,99.415,2,1,48.0,3
48,47sIsdKh2nO3guNMbMyI2d,Ping Pong (Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,230320.0,17.0,0.853,0.711,-6.3770000000000024,0.22699999999999998,0.0783,2.7000000000000002e-05,0.0981,0.763,109.986,10,0,49.0,3
49,4bZL9D6SpeHtsRQwsAkL99,Got 'Til It's Gone (DJ Kobayashi & Herbert Newbert Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,263680.0,7.0,0.5489999999999999,0.887,-4.331,0.265,0.0334,0.003820000000000001,0.32799999999999996,0.667,99.03299999999999,1,1,50.0,3
50,0Xmz2sF0mYYKwFvgyB3DaA,Bei Mir Bist du Schoen,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,179160.0,22.0,0.867,0.894,-4.026,0.26,0.254,0.00389,0.154,0.726,128.083,3,0,51.0,3
203,1pX5XE5hajZQ4lB6HuMVKa,Felicidad,5mLQ2pzeGmEwuc7NFrsmp6,1zIyzZFhqB27mVPqnwJpTs,2016-10-20T15:33:57Z,254653.0,48.0,0.669,0.914,-3.3139999999999996,0.184,0.136,0.0,0.16899999999999998,0.919,102.00200000000001,7,1,1.0,3
