,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.47,0.969,6,-4.739,1,0.0968,0.000702,0.0,0.332,0.593,144.012,audio_features,0iUano4euaiUETVUd1u0cx,spotify:track:0iUano4euaiUETVUd1u0cx,https://api.spotify.com/v1/tracks/0iUano4euaiUETVUd1u0cx,https://api.spotify.com/v1/audio-analysis/0iUano4euaiUETVUd1u0cx,192311,4
1,0.472,0.925,9,-4.57,1,0.0415,0.000305,4.44e-06,0.0755,0.746,146.97,audio_features,37MkbRqfMdO4qlNj7C4Wfa,spotify:track:37MkbRqfMdO4qlNj7C4Wfa,https://api.spotify.com/v1/tracks/37MkbRqfMdO4qlNj7C4Wfa,https://api.spotify.com/v1/audio-analysis/37MkbRqfMdO4qlNj7C4Wfa,198833,4
2,0.392,0.981,1,-4.564,0,0.0799,2.9e-05,0.0422,0.174,0.335,160.047,audio_features,2AgiH9n8cXo0csSkEhByKe,spotify:track:2AgiH9n8cXo0csSkEhByKe,https://api.spotify.com/v1/tracks/2AgiH9n8cXo0csSkEhByKe,https://api.spotify.com/v1/audio-analysis/2AgiH9n8cXo0csSkEhByKe,232014,4
3,0.426,0.954,6,-3.407,0,0.102,0.119,0.0,0.168,0.224,91.942,audio_features,0MKGutXLPRWkOf1m47BxsM,spotify:track:0MKGutXLPRWkOf1m47BxsM,https://api.spotify.com/v1/tracks/0MKGutXLPRWkOf1m47BxsM,https://api.spotify.com/v1/audio-analysis/0MKGutXLPRWkOf1m47BxsM,177867,4
4,0.38,0.966,6,-4.835,0,0.207,0.000221,0.000819,0.327,0.368,154.009,audio_features,1RPU4PqQM4pxL4iCK03iM9,spotify:track:1RPU4PqQM4pxL4iCK03iM9,https://api.spotify.com/v1/tracks/1RPU4PqQM4pxL4iCK03iM9,https://api.spotify.com/v1/audio-analysis/1RPU4PqQM4pxL4iCK03iM9,223739,4
5,0.487,0.779,7,-5.319,1,0.0837,0.00221,0.000214,0.307,0.642,142.04,audio_features,0H042a4KyYioRQEi2IauAL,spotify:track:0H042a4KyYioRQEi2IauAL,https://api.spotify.com/v1/tracks/0H042a4KyYioRQEi2IauAL,https://api.spotify.com/v1/audio-analysis/0H042a4KyYioRQEi2IauAL,269560,4
6,0.315,0.539,11,-5.848,1,0.0347,0.00623,6.85e-05,0.459,0.482,178.138,audio_features,2PiJrF9Z90OdmTtbbnV2mI,spotify:track:2PiJrF9Z90OdmTtbbnV2mI,https://api.spotify.com/v1/tracks/2PiJrF9Z90OdmTtbbnV2mI,https://api.spotify.com/v1/audio-analysis/2PiJrF9Z90OdmTtbbnV2mI,234080,4
7,0.4,0.934,5,-3.679,1,0.0458,0.00502,0.0,0.209,0.642,125.98,audio_features,4dW5lLIQSPs6g8dzg2FFT2,spotify:track:4dW5lLIQSPs6g8dzg2FFT2,https://api.spotify.com/v1/tracks/4dW5lLIQSPs6g8dzg2FFT2,https://api.spotify.com/v1/audio-analysis/4dW5lLIQSPs6g8dzg2FFT2,219587,4
8,0.583,0.789,9,-5.566,1,0.0511,0.00236,2.79e-05,0.1,0.725,128.034,audio_features,294B7xxpsVVemhj0qmJPnx,spotify:track:294B7xxpsVVemhj0qmJPnx,https://api.spotify.com/v1/tracks/294B7xxpsVVemhj0qmJPnx,https://api.spotify.com/v1/audio-analysis/294B7xxpsVVemhj0qmJPnx,279427,4
9,0.484,0.896,7,-8.934,1,0.0356,0.00329,0.497,0.193,0.97,147.905,audio_features,1AtoSBgn7iT7ygdyOlcnsj,spotify:track:1AtoSBgn7iT7ygdyOlcnsj,https://api.spotify.com/v1/tracks/1AtoSBgn7iT7ygdyOlcnsj,https://api.spotify.com/v1/audio-analysis/1AtoSBgn7iT7ygdyOlcnsj,198520,4
