,collaborative,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,https://api.spotify.com/v1/playlists/3ypuzkCtKGOQ0Y63x295Jx,3ypuzkCtKGOQ0Y63x295Jx,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/011587aeea7675f6b8bcd2204dbdef7c96c58466774eaf41ff0c3bee8e7f7a57104aded2b7a7cf3c89b4e2faaef4dd2fca07238c4fe1c4ded7251eadd8842fb44aadb8f34c944e385b2bff667e60c77a', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/011587aeea7675f6b8bcd2204dbdef7c96c58466774eaf41ff0c3bee8e7f7a57104aded2b7a7cf3c89b4e2faaef4dd2fca07238c4fe1c4ded7251eadd8842fb44aadb8f34c944e385b2bff667e60c77a', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/011587aeea7675f6b8bcd2204dbdef7c96c58466774eaf41ff0c3bee8e7f7a57104aded2b7a7cf3c89b4e2faaef4dd2fca07238c4fe1c4ded7251eadd8842fb44aadb8f34c944e385b2bff667e60c77a', 'width': 60}]","Various Artists – Electro Swing Fever, Vol. 3",,True,Miw1ZmMyMjZlYzlhYTVmZWViZDA1NWIzNzVmMzdjNzc0ZTZjNzMzYzdl,playlist,spotify:playlist:3ypuzkCtKGOQ0Y63x295Jx,https://open.spotify.com/playlist/3ypuzkCtKGOQ0Y63x295Jx,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/3ypuzkCtKGOQ0Y63x295Jx/tracks,60
1,False,https://api.spotify.com/v1/playlists/03aHsHAJv9vHySsb82CYB7,03aHsHAJv9vHySsb82CYB7,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/2cb93e15a296ff1cbc5b7802c6db8d387c74d70f6bcefa5480fc9abc86eec1bb026bb1f5ccafea816ce0d60b930b8c1525d8df7223d40ab7895f563296751c3485d2cecd46150230af6bc9f58b923059', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/2cb93e15a296ff1cbc5b7802c6db8d387c74d70f6bcefa5480fc9abc86eec1bb026bb1f5ccafea816ce0d60b930b8c1525d8df7223d40ab7895f563296751c3485d2cecd46150230af6bc9f58b923059', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/2cb93e15a296ff1cbc5b7802c6db8d387c74d70f6bcefa5480fc9abc86eec1bb026bb1f5ccafea816ce0d60b930b8c1525d8df7223d40ab7895f563296751c3485d2cecd46150230af6bc9f58b923059', 'width': 60}]",Bishop Allen,,True,OCwxOTkxZmQ5MzM0NzUyMjc3NTFjYjI3NzI4MTVhNzIyZWIwNDJjN2I3,playlist,spotify:playlist:03aHsHAJv9vHySsb82CYB7,https://open.spotify.com/playlist/03aHsHAJv9vHySsb82CYB7,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/03aHsHAJv9vHySsb82CYB7/tracks,85
2,False,https://api.spotify.com/v1/playlists/6uzNpJIT2e1cOHVhYdg8Kr,6uzNpJIT2e1cOHVhYdg8Kr,"[{'height': 640, 'url': 'https://i.scdn.co/image/b0530ff0004d554d4872dc7d9e2c31b56aebe70b', 'width': 640}]",ONE,,True,MyxlYjI0MGViNWE2MjAzMGRmOWEwOThkYWY3NjNhYmJmNzNhMGQ4MGUz,playlist,spotify:playlist:6uzNpJIT2e1cOHVhYdg8Kr,https://open.spotify.com/playlist/6uzNpJIT2e1cOHVhYdg8Kr,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/6uzNpJIT2e1cOHVhYdg8Kr/tracks,1
3,False,https://api.spotify.com/v1/playlists/7uuoJ3glhbTcKGo4PzqQu8,7uuoJ3glhbTcKGo4PzqQu8,"[{'height': 640, 'url': 'https://i.scdn.co/image/357a1d6a7600d4dad7d329f7c206671c7b19e73e', 'width': 640}]",Various Artists – Música Clássica: Mais Famosas,,True,MyxkZGQ1YjI1MmJkZmIxNmYzZDBkMzU4MTRiZDg1YTM5MGE2MmNiMTA0,playlist,spotify:playlist:7uuoJ3glhbTcKGo4PzqQu8,https://open.spotify.com/playlist/7uuoJ3glhbTcKGo4PzqQu8,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/7uuoJ3glhbTcKGo4PzqQu8/tracks,50
4,False,https://api.spotify.com/v1/playlists/3adsbUvUtQcVmqSdCpRNIH,3adsbUvUtQcVmqSdCpRNIH,"[{'height': 640, 'url': 'https://i.scdn.co/image/3b65c4d1d69be96659f93253944ddb79f7693999', 'width': 640}]",Nice COVERS,,True,Myw2Y2FmN2FjNmYzODA1NGU4YjQzMTk2MWYwMTA1N2JlYWZlMjk3ZmE3,playlist,spotify:playlist:3adsbUvUtQcVmqSdCpRNIH,https://open.spotify.com/playlist/3adsbUvUtQcVmqSdCpRNIH,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/3adsbUvUtQcVmqSdCpRNIH/tracks,1
5,False,https://api.spotify.com/v1/playlists/5mLQ2pzeGmEwuc7NFrsmp6,5mLQ2pzeGmEwuc7NFrsmp6,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/385e5359ea930a0d98bc1fafea7d2fcecba4d7c53e7e7da3027e9115242e0a4453ac7a704ac34cb4d3dfbe8ccccc078d4d60996c0db1ecb44b989a45dc36596ef966d862d0db7c1916b5dcce001d12d8', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/385e5359ea930a0d98bc1fafea7d2fcecba4d7c53e7e7da3027e9115242e0a4453ac7a704ac34cb4d3dfbe8ccccc078d4d60996c0db1ecb44b989a45dc36596ef966d862d0db7c1916b5dcce001d12d8', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/385e5359ea930a0d98bc1fafea7d2fcecba4d7c53e7e7da3027e9115242e0a4453ac7a704ac34cb4d3dfbe8ccccc078d4d60996c0db1ecb44b989a45dc36596ef966d862d0db7c1916b5dcce001d12d8', 'width': 60}]",FB,,True,ODksY2UyNjhkYjgwYjk2MDc4MTNlZjBiMmJmNjg0Njg1NTRlYTM4MjIzOA==,playlist,spotify:playlist:5mLQ2pzeGmEwuc7NFrsmp6,https://open.spotify.com/playlist/5mLQ2pzeGmEwuc7NFrsmp6,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/5mLQ2pzeGmEwuc7NFrsmp6/tracks,81
6,True,https://api.spotify.com/v1/playlists/7nW9BlocQCzpeLwufiJ4RJ,7nW9BlocQCzpeLwufiJ4RJ,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/299ea65f2b2187d43f72ae8d06dcff080e22f71d63ec02f08ee05df836899341db2519f6336150a36917af0c3b16f1ab644869e499984f1390ef32d4dc627b2686233921c45a80243d0e6aeb08a6e5bf', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/299ea65f2b2187d43f72ae8d06dcff080e22f71d63ec02f08ee05df836899341db2519f6336150a36917af0c3b16f1ab644869e499984f1390ef32d4dc627b2686233921c45a80243d0e6aeb08a6e5bf', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/299ea65f2b2187d43f72ae8d06dcff080e22f71d63ec02f08ee05df836899341db2519f6336150a36917af0c3b16f1ab644869e499984f1390ef32d4dc627b2686233921c45a80243d0e6aeb08a6e5bf', 'width': 60}]",New Playlist,,False,NCxmMWNiZjM2MmIzNzViZjViOTE1OTE4N2RhMjQxODVlMzY0NWJhY2I1,playlist,spotify:playlist:7nW9BlocQCzpeLwufiJ4RJ,https://open.spotify.com/playlist/7nW9BlocQCzpeLwufiJ4RJ,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/7nW9BlocQCzpeLwufiJ4RJ/tracks,77
7,False,https://api.spotify.com/v1/playlists/28RqwFckD9aUZqyksBUCKw,28RqwFckD9aUZqyksBUCKw,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/233137d8b11be59903fe8c3642638c562388a3605a0da5f1455f21a918205ac31ccc8fdad232f0b076f6b00fba3902837e6d2d10576fdc5586200f25f67be61ce9cb6cf03c734efdb5c45511ac25a6f0', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/233137d8b11be59903fe8c3642638c562388a3605a0da5f1455f21a918205ac31ccc8fdad232f0b076f6b00fba3902837e6d2d10576fdc5586200f25f67be61ce9cb6cf03c734efdb5c45511ac25a6f0', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/233137d8b11be59903fe8c3642638c562388a3605a0da5f1455f21a918205ac31ccc8fdad232f0b076f6b00fba3902837e6d2d10576fdc5586200f25f67be61ce9cb6cf03c734efdb5c45511ac25a6f0', 'width': 60}]",Reggeton,,True,Niw1OWJmYWRkNjJhYzgxNjg4NTFhYTY2MDM5OTYwNTExZWFjMThkZWZm,playlist,spotify:playlist:28RqwFckD9aUZqyksBUCKw,https://open.spotify.com/playlist/28RqwFckD9aUZqyksBUCKw,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/28RqwFckD9aUZqyksBUCKw/tracks,4
8,False,https://api.spotify.com/v1/playlists/17G5Gs4hjwytQt3l6mkph2,17G5Gs4hjwytQt3l6mkph2,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/0cf1da3fa7e74d17529c1adbcaa1f808c8a186ec423bb5be3eef4aeefebdf84946cf08cc4f4f050165c138c0b68efcbff38621a6689ddecf2245404a93821e3712f1569abf01dbee68e05da753d1aed3', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/0cf1da3fa7e74d17529c1adbcaa1f808c8a186ec423bb5be3eef4aeefebdf84946cf08cc4f4f050165c138c0b68efcbff38621a6689ddecf2245404a93821e3712f1569abf01dbee68e05da753d1aed3', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/0cf1da3fa7e74d17529c1adbcaa1f808c8a186ec423bb5be3eef4aeefebdf84946cf08cc4f4f050165c138c0b68efcbff38621a6689ddecf2245404a93821e3712f1569abf01dbee68e05da753d1aed3', 'width': 60}]",Ramon Mirabet,,True,NSxiZGZlMGQzN2YzZTZlM2UzZjNhMjRlMDA2NDY0OWVlMzRjNmZiMzFk,playlist,spotify:playlist:17G5Gs4hjwytQt3l6mkph2,https://open.spotify.com/playlist/17G5Gs4hjwytQt3l6mkph2,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/17G5Gs4hjwytQt3l6mkph2/tracks,29
9,False,https://api.spotify.com/v1/playlists/4uBsB8VrlhHkN9Zazl0hO8,4uBsB8VrlhHkN9Zazl0hO8,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/8ee9286e9e66682b56f0518c147057fe03e86e9da78d739488aac3438fe6f04b9fcf585218123ab9ae65b4fdd32d1727ddd55a2f793e5c511eda86f7f032b5bd403b107b7a326f6392f0c01bff936f15', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/8ee9286e9e66682b56f0518c147057fe03e86e9da78d739488aac3438fe6f04b9fcf585218123ab9ae65b4fdd32d1727ddd55a2f793e5c511eda86f7f032b5bd403b107b7a326f6392f0c01bff936f15', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/8ee9286e9e66682b56f0518c147057fe03e86e9da78d739488aac3438fe6f04b9fcf585218123ab9ae65b4fdd32d1727ddd55a2f793e5c511eda86f7f032b5bd403b107b7a326f6392f0c01bff936f15', 'width': 60}]",Josep Francès,,True,OCw0MDM3OGY5MWNmMWUwYmY5NjhhNDA1N2MzYWM3NWJiZWUxNjA3Mjhh,playlist,spotify:playlist:4uBsB8VrlhHkN9Zazl0hO8,https://open.spotify.com/playlist/4uBsB8VrlhHkN9Zazl0hO8,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/4uBsB8VrlhHkN9Zazl0hO8/tracks,4
