,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,cluster
63,2SuybSHoi70J5fUME8Q2FK,Bishop Allen Drive,03aHsHAJv9vHySsb82CYB7,1D4pWDyvBQeq4x4UKTVvuI,2017-03-29T18:14:26Z,176066.0,11.0,0.612,0.29100000000000004,-12.577,0.0333,0.435,1.07e-05,0.11699999999999999,0.475,144.143,7,1,4.0,2
66,0IuHqFbdeZoZD1TKa9i0ub,Ghosts Are Good Company,03aHsHAJv9vHySsb82CYB7,1D4pWDyvBQeq4x4UKTVvuI,2017-03-29T18:14:26Z,180800.0,12.0,0.6809999999999999,0.315,-10.117,0.0323,0.27,1.01e-06,0.0806,0.622,95.96600000000001,0,1,7.0,2
68,1Dy4LJG6uP0QdNzzLhhMeo,Coupla Easy Things,03aHsHAJv9vHySsb82CYB7,1D4pWDyvBQeq4x4UKTVvuI,2017-03-29T18:14:26Z,141466.0,7.0,0.662,0.298,-12.384,0.0322,0.5539999999999999,0.000106,0.0854,0.41100000000000003,111.14399999999999,7,1,9.0,2
73,7mjTG9PuYLZ8pkO8UKQraE,Luck Of Mine,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,201786.0,3.0,0.8190000000000001,0.223,-12.595,0.0932,0.945,0.257,0.128,0.23399999999999999,134.31799999999998,7,1,1.0,2
76,2J1xInkOjRsso3R836X1o2,Fireflies,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,257240.0,7.0,0.655,0.429,-13.667,0.0323,0.501,0.40399999999999997,0.12300000000000001,0.276,119.962,5,1,4.0,2
78,039fuEKgAqb6fis3uzXzCO,Cassandra,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,189400.0,1.0,0.732,0.183,-14.602,0.055,0.7609999999999999,1.9600000000000002e-05,0.121,0.213,120.116,5,1,6.0,2
80,4qqNZZprC5xAq5s7y8Zdok,St. Ivan's Day School,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,212600.0,1.0,0.6659999999999999,0.455,-8.024,0.0407,0.657,2.3899999999999998e-05,0.081,0.799,108.007,7,1,8.0,2
81,3BElHfHvQAyHdwketja6A3,Song For Daniel,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,173906.0,4.0,0.542,0.2,-12.055,0.0477,0.826,0.0039,0.10099999999999999,0.39399999999999996,117.088,0,1,9.0,2
82,4wdCrRmDxx6I85t0YHCQoY,Abe Lincoln,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,168866.0,4.0,0.675,0.449,-5.155,0.0319,0.9009999999999999,0.00548,0.11900000000000001,0.6609999999999999,127.978,0,1,10.0,2
84,48Bw9gywokX9eEzlev3WzF,Don Christopher,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,191666.0,1.0,0.708,0.561,-13.79,0.128,0.718,0.0,0.12,0.621,109.986,7,1,12.0,2
85,5vhMnOugXP4AKOZ0FCAtAk,WEKH,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,168573.0,2.0,0.847,0.46799999999999997,-13.274000000000001,0.0438,0.825,0.006540000000000001,0.11,0.354,125.988,0,1,13.0,2
89,0Gy9NCconm7tZPA3ebp3Jy,This Heart,03aHsHAJv9vHySsb82CYB7,7qscw1Uae7FHpSse64nqd1,2017-03-29T18:14:31Z,260573.0,2.0,0.522,0.33299999999999996,-13.280999999999999,0.0349,0.8240000000000001,4.4e-06,0.0849,0.26899999999999996,160.127,9,1,17.0,2
91,46NHcqVFw9nPvjORQgm4Ip,The Bullet & Big D,03aHsHAJv9vHySsb82CYB7,57u3M2Dw4I9omyqzGOhbjQ,2017-03-29T18:14:36Z,327760.0,5.0,0.5329999999999999,0.36200000000000004,-13.655,0.0418,0.129,0.0026100000000000003,0.306,0.322,93.084,8,1,1.0,2
93,0jBdzGUShgjwcxl1i0Ti7M,The Rabbit,03aHsHAJv9vHySsb82CYB7,57u3M2Dw4I9omyqzGOhbjQ,2017-03-29T18:14:36Z,201306.0,3.0,0.504,0.39899999999999997,-9.959,0.0455,0.134,0.0,0.069,0.483,103.12799999999999,7,1,3.0,2
96,25vaVEkjGgiBXd8NLhtoSQ,Central Booking,03aHsHAJv9vHySsb82CYB7,57u3M2Dw4I9omyqzGOhbjQ,2017-03-29T18:14:36Z,187066.0,3.0,0.57,0.45799999999999996,-14.054,0.131,0.36,0.000646,0.218,0.49,132.196,11,1,6.0,2
98,5YG6ffVT9qw38CTe1kJdEe,Suddenly,03aHsHAJv9vHySsb82CYB7,57u3M2Dw4I9omyqzGOhbjQ,2017-03-29T18:14:36Z,176253.0,5.0,0.65,0.46299999999999997,-9.921,0.0632,0.762,0.00015,0.102,0.532,174.234,6,1,8.0,2
100,2su3jCBzgJ7dHCBMju4cYW,Bellingham,03aHsHAJv9vHySsb82CYB7,57u3M2Dw4I9omyqzGOhbjQ,2017-03-29T18:14:36Z,273866.0,3.0,0.703,0.395,-8.616,0.0419,0.484,1.3500000000000001e-05,0.102,0.31,81.755,11,1,10.0,2
103,5rksQtyxVijPAHQVIyecUt,That Summer,03aHsHAJv9vHySsb82CYB7,57u3M2Dw4I9omyqzGOhbjQ,2017-03-29T18:14:36Z,91960.0,2.0,0.544,0.45899999999999996,-4.624,0.0314,0.534,0.0,0.0834,0.402,173.30900000000003,7,1,13.0,2
108,2NU0u8ZeFVeckk1dTYu514,The Monitor,03aHsHAJv9vHySsb82CYB7,2fAA87YxwDh8sofZrwz6Wd,2017-03-29T18:14:42Z,221613.0,13.0,0.706,0.447,-10.074,0.0476,0.215,0.0,0.0522,0.35600000000000004,116.06700000000001,0,1,1.0,2
