,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.736,0.715,5,-4.114,0,0.0412,0.012,0.000796,0.218,0.851,119.976,audio_features,3wD62ofDBqgeJSW2u7WKil,spotify:track:3wD62ofDBqgeJSW2u7WKil,https://api.spotify.com/v1/tracks/3wD62ofDBqgeJSW2u7WKil,https://api.spotify.com/v1/audio-analysis/3wD62ofDBqgeJSW2u7WKil,181000,4
1,0.695,0.879,4,-5.655,1,0.16,0.223,0.197,0.689,0.91,203.886,audio_features,14EeHJP2ZhOqabZgCAF27r,spotify:track:14EeHJP2ZhOqabZgCAF27r,https://api.spotify.com/v1/tracks/14EeHJP2ZhOqabZgCAF27r,https://api.spotify.com/v1/audio-analysis/14EeHJP2ZhOqabZgCAF27r,265093,4
2,0.69,0.722,0,-5.898,1,0.261,0.268,0.000529,0.935,0.661,175.889,audio_features,4iGiK3PUx1r9G6N3vkQERe,spotify:track:4iGiK3PUx1r9G6N3vkQERe,https://api.spotify.com/v1/tracks/4iGiK3PUx1r9G6N3vkQERe,https://api.spotify.com/v1/audio-analysis/4iGiK3PUx1r9G6N3vkQERe,305280,4
3,0.671,0.806,7,-5.632,1,0.0777,0.0564,3.42e-06,0.739,0.869,129.98,audio_features,2KTHFxwHv1eUUALTx7uBei,spotify:track:2KTHFxwHv1eUUALTx7uBei,https://api.spotify.com/v1/tracks/2KTHFxwHv1eUUALTx7uBei,https://api.spotify.com/v1/audio-analysis/2KTHFxwHv1eUUALTx7uBei,204027,4
4,0.544,0.815,7,-4.554,1,0.0772,0.00851,1.67e-05,0.169,0.744,90.015,audio_features,2I13jeL6QfdArAhpqUzFSr,spotify:track:2I13jeL6QfdArAhpqUzFSr,https://api.spotify.com/v1/tracks/2I13jeL6QfdArAhpqUzFSr,https://api.spotify.com/v1/audio-analysis/2I13jeL6QfdArAhpqUzFSr,341493,4
5,0.855,0.698,11,-6.697,0,0.06,0.0563,0.0638,0.075,0.681,116.043,audio_features,2sm8jAsyuyoX45ytlnyBLj,spotify:track:2sm8jAsyuyoX45ytlnyBLj,https://api.spotify.com/v1/tracks/2sm8jAsyuyoX45ytlnyBLj,https://api.spotify.com/v1/audio-analysis/2sm8jAsyuyoX45ytlnyBLj,212320,4
6,0.798,0.794,5,-5.287,0,0.0711,0.257,0.0,0.0872,0.772,123.987,audio_features,0x9zhyDsfltieIXYUv1XRg,spotify:track:0x9zhyDsfltieIXYUv1XRg,https://api.spotify.com/v1/tracks/0x9zhyDsfltieIXYUv1XRg,https://api.spotify.com/v1/audio-analysis/0x9zhyDsfltieIXYUv1XRg,253733,4
7,0.669,0.771,7,-5.286,1,0.191,0.00897,6.1e-05,0.275,0.592,169.916,audio_features,6cM9Wxrwik0TipzJPcZLG7,spotify:track:6cM9Wxrwik0TipzJPcZLG7,https://api.spotify.com/v1/tracks/6cM9Wxrwik0TipzJPcZLG7,https://api.spotify.com/v1/audio-analysis/6cM9Wxrwik0TipzJPcZLG7,164080,4
8,0.88,0.87,5,-5.851,0,0.32,0.279,0.000806,0.116,0.743,115.056,audio_features,4mpyBYJzpieMYwvtnnlzlY,spotify:track:4mpyBYJzpieMYwvtnnlzlY,https://api.spotify.com/v1/tracks/4mpyBYJzpieMYwvtnnlzlY,https://api.spotify.com/v1/audio-analysis/4mpyBYJzpieMYwvtnnlzlY,228693,4
9,0.786,0.831,10,-5.62,0,0.12,0.0724,0.0,0.853,0.799,117.964,audio_features,1Z0UlpDHhTmRRF2p5aZPa7,spotify:track:1Z0UlpDHhTmRRF2p5aZPa7,https://api.spotify.com/v1/tracks/1Z0UlpDHhTmRRF2p5aZPa7,https://api.spotify.com/v1/audio-analysis/1Z0UlpDHhTmRRF2p5aZPa7,266133,4
